-00:00:01.5560000		Yoo Rose casts Ruin III on Ramuh
00:00:01.6450000		Dengue Fever gains Devotion from Ifrit-Egi
00:00:01.6900000		Blue Fever prepares Stormbite on Ramuh 5019
00:00:01.6900000		Blue Fever prepares Shot on Ramuh 6633 (CRITICAL)
00:00:01.6900000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:01.7790000		Yoo Rose gains Devotion from Ifrit-Egi
00:00:01.7800000		Ruby Carbuncle gains Well Fed from Yoo Rose
00:00:01.7800000		Ruby Carbuncle gains Devotion from Ifrit-Egi
00:00:01.8240000		Ramuh prepares Unknown_4Bc9 on Minju Rose +20932 (CRITICAL)
00:00:01.8690000		Ifrit-Egi prepares Burning Strike on Ramuh 4379
00:00:01.8690000		Aihyooni Yoomi prepares Biolysis on Ramuh 
00:00:01.8690000		The limit break guage has been updated to 170. 3 bars are available.
00:00:01.9130000		Blue Fever gains Devotion from Ifrit-Egi
00:00:01.9580000		Ruby Carbuncle gains Summon Order from Ramuh
00:00:02.0020000		Ruby Carbuncle prepares Crimson Cyclone on Ramuh 13490
00:00:02.0470000		Yujin Ahn gains Devotion from Ifrit-Egi
00:00:02.0470000		Aihyooni Yoomi Broil III Ramuh 17304
00:00:02.0470000		Dan Tam prepares Kassatsu on Dan Tam 
00:00:02.0470000		Dan Tam gains Kassatsu from Dan Tam
00:00:02.0920000		Ruby Carbuncle Burning Strike Ramuh 3861
00:00:02.0920000		Yoo Rose prepares Tri-Disaster on Ramuh 25399 (DIRECT HIT)
00:00:02.0920000		Minju Rose prepares Attack on Ramuh 2336
00:00:02.0920000		Ramuh gains Bio III from Yoo Rose
00:00:02.0920000		Ramuh gains Miasma III from Yoo Rose
00:00:02.2710000		Dan Tam Suiton Ramuh 23905
00:00:02.3140000		Dan Tam prepares Attack on Ramuh 3581
00:00:02.3590000		Minju Rose prepares Fast Blade on Ramuh 5733
00:00:02.3590000		Yujin Ahn prepares Heavy Swing on Ramuh 5567
00:00:02.3590000		Yujin Ahn prepares Attack on Ramuh 6053 (CRITICAL)
00:00:02.3590000		Run Escape prepares Ruin III on Ramuh 16626 (DIRECT HIT)
00:00:02.4040000		Dengue Fever prepares Dia on Ramuh 12671 (CRITICAL)
00:00:02.4480000		Blue Fever Shot Ramuh 6633
00:00:02.4920000		Ramuh gains Biolysis from Aihyooni Yoomi
00:00:02.5810000		Blue Fever prepares Bloodletter on Ramuh 7938
00:00:02.6260000		Ruby Carbuncle Crimson Cyclone Ramuh 13490
00:00:02.6260000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:02.6260000		Minju Rose Attack Ramuh 2336
00:00:02.6260000		Ramuh Unknown_4Bc9 Minju Rose 20932
00:00:02.6260000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:02.6260000		Aihyooni Yoomi prepares Aetherflow on Aihyooni Yoomi 1000
00:00:02.6700000		Ifrit-Egi Burning Strike Ramuh 4379
00:00:02.8030000		Dengue Fever Glare Ramuh 24822
00:00:02.8480000		Dan Tam Attack Ramuh 3581
00:00:02.8480000		Yoo Rose prepares Dreadwyrm Trance on Yoo Rose 
00:00:02.8930000		Yoo Rose Tri-Disaster Ramuh 25399
00:00:02.8930000		Yujin Ahn Heavy Swing Ramuh 5567
00:00:02.8930000		Yujin Ahn Attack Ramuh 6053
00:00:02.9370000		Eos prepares Embrace on Minju Rose +4235
00:00:02.9810000		Blue Fever Stormbite Ramuh 5019
00:00:02.9810000		Ramuh gains Stormbite from Blue Fever
00:00:02.9810000		Minju Rose Fast Blade Ramuh 5733
00:00:02.9810000		Dan Tam prepares Spinning Edge on Ramuh 16930 (CRITICAL)
00:00:03.0260000		Run Escape prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:03.1590000		Run Escape Ruin III Ramuh 16626
00:00:03.1590000		Minju Rose prepares Circle Of Scorn on Ramuh 3468
00:00:03.2940000		Blue Fever prepares The Wanderer's Minuet on Ramuh 7012 (CRITICAL)
00:00:03.2940000		Dengue Fever prepares Assize on Dengue Fever +18398
00:00:03.2940000		Dengue Fever prepares Assize on Ramuh 26822
00:00:03.2940000		Dengue Fever prepares Assize on Yujin Ahn +27542 (CRITICAL)
00:00:03.2940000		Dengue Fever prepares Assize on Dan Tam +17862
00:00:03.2940000		Dengue Fever prepares Assize on Aihyooni Yoomi +18534
00:00:03.2940000		Dengue Fever prepares Assize on Yoo Rose +27952 (CRITICAL)
00:00:03.2940000		Dengue Fever prepares Assize on Run Escape +18682
00:00:03.2940000		Dengue Fever prepares Assize on Minju Rose +28562 (CRITICAL)
00:00:03.2940000		Dengue Fever prepares Assize on Blue Fever +17761
00:00:03.2940000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:03.2940000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:03.2940000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:03.2940000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:03.2940000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:03.2940000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:03.2940000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:03.2940000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:03.2940000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:03.2940000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:03.3370000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:03.3370000		Aihyooni Yoomi prepares Energy Drain on Ramuh 10486
00:00:03.3820000		Dan Tam Spinning Edge Ramuh 16930
00:00:03.5590000		Eos Embrace Minju Rose 4235
00:00:03.6490000		Ifrit-Egi gains Summon Order from Ramuh
00:00:03.6940000		Dengue Fever Dia Ramuh 12671
00:00:03.6940000		Ramuh gains Dia from Dengue Fever
00:00:03.6940000		Ifrit-Egi prepares Crimson Cyclone on Ramuh 16873 (DIRECT HIT)
00:00:03.7820000		Yoo Rose prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:03.7820000		Run Escape gains Aetherflow from Run Escape
00:00:03.7820000		Run Escape prepares Energy Drain on Ramuh 10932 (CRITICAL)
00:00:03.9160000		Blue Fever The Wanderer's Minuet Ramuh 7012
00:00:04.0050000		Minju Rose prepares Fight Or Flight on Minju Rose 
00:00:04.0940000		Dengue Fever Assize Ramuh 26822
00:00:04.1390000		Blue Fever prepares Caustic Bite on Ramuh 10732 (DIRECT HIT)
00:00:04.1390000		Dengue Fever prepares Presence Of Mind on Dengue Fever 
00:00:04.1390000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:04.1820000		Blue Fever Bloodletter Ramuh 7938
00:00:04.1820000		Minju Rose Circle Of Scorn Ramuh 3468
00:00:04.1820000		Ramuh gains Circle Of Scorn from Minju Rose
00:00:04.3160000		Ifrit-Egi Crimson Cyclone Ramuh 16873
00:00:04.3160000		Run Escape gains Further Ruin from Run Escape
00:00:04.3600000		Aihyooni Yoomi Energy Drain Ramuh 10486
00:00:04.3600000		Minju Rose prepares Attack on Ramuh 2446
00:00:04.4040000		Ruby Carbuncle gains Summon Order II from Ruby Carbuncle
00:00:04.4490000		Ruby Carbuncle prepares Flaming Crush on Ramuh 13667
00:00:04.4490000		Yoo Rose prepares Enkindle: Inferno on Ramuh +239 (CRITICAL)
00:00:04.4930000		Dan Tam prepares Attack on Ramuh 4868 (DIRECT HIT)
00:00:04.5380000		Run Escape prepares Tri-Disaster on Ramuh 20746
00:00:04.5380000		Ramuh gains Bio III from Run Escape
00:00:04.5380000		Ramuh gains Miasma III from Run Escape
00:00:04.6710000		Minju Rose gains Fight Or Flight from Minju Rose
00:00:04.6710000		Dengue Fever gains Presence Of Mind from Dengue Fever
00:00:04.6710000		Yujin Ahn prepares Maim on Ramuh 8696
00:00:04.7150000		Minju Rose prepares Riot Blade on Ramuh 20695 (CRITICAL)
00:00:04.7600000		Blue Fever prepares Shot on Ramuh 4655
00:00:04.8040000		Run Escape Energy Drain Ramuh 10932
00:00:04.8040000		Blue Fever prepares Empyreal Arrow on Ramuh 13043
00:00:04.8490000		Ramuh prepares Unknown_4Bc9 on Minju Rose 26184
00:00:04.8490000		The limit break guage has been updated to 340. 3 bars are available.
00:00:04.8930000		Minju Rose Attack Ramuh 2446
00:00:05.0260000		Dan Tam Attack Ramuh 4868
00:00:05.0260000		Ruby Carbuncle prepares Burning Strike on Ramuh 4293
00:00:05.0700000		Dan Tam prepares Gust Slash on Ramuh 12478
00:00:05.1150000		Ruby Carbuncle gains Summon Order III from Ramuh
00:00:05.1590000		Yoo Rose gains Aetherflow from Yoo Rose
00:00:05.1590000		Yoo Rose prepares Energy Drain on Ramuh 6865
00:00:05.2930000		Yujin Ahn Maim Ramuh 8696
00:00:05.3380000		Run Escape Tri-Disaster Ramuh 20746
00:00:05.3380000		Ifrit-Egi prepares Burning Strike on Ramuh 6674 (CRITICAL)
00:00:05.4720000		Blue Fever Caustic Bite Ramuh 10732
00:00:05.4720000		Ramuh gains Caustic Bite from Blue Fever
00:00:05.4720000		Minju Rose Riot Blade Ramuh 20695
00:00:05.4720000		Dan Tam Gust Slash Ramuh 12478
00:00:05.5160000		Blue Fever Shot Ramuh 4655
00:00:05.5610000		Blue Fever prepares Battle Voice on Run Escape 
00:00:05.5610000		Blue Fever prepares Battle Voice on Yoo Rose 
00:00:05.5610000		Blue Fever prepares Battle Voice on Aihyooni Yoomi 
00:00:05.5610000		Blue Fever prepares Battle Voice on Dan Tam 
00:00:05.5610000		Blue Fever prepares Battle Voice on Yujin Ahn 
00:00:05.5610000		Blue Fever prepares Battle Voice on Dengue Fever 
00:00:05.5610000		Blue Fever prepares Battle Voice on Minju Rose 
00:00:05.5610000		Run Escape prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:05.6060000		Ruby Carbuncle Flaming Crush Ramuh 13667
00:00:05.6060000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:05.6060000		Ruby Carbuncle prepares Inferno on Ramuh 15351
00:00:05.6500000		Ramuh Unknown_4Bc9 Minju Rose 26184
00:00:05.7380000		Yujin Ahn prepares Attack on Ramuh 3939
00:00:05.7380000		Dan Tam prepares Mug on Ramuh 7536 (DIRECT HIT)
00:00:05.8270000		Ruby Carbuncle Burning Strike Ramuh 4293
00:00:05.8270000		Blue Fever Empyreal Arrow Ramuh 13043
00:00:06.0950000		Yujin Ahn prepares Infuriate on Yujin Ahn 
00:00:06.0950000		Yujin Ahn gains Nascent Chaos from Yujin Ahn
00:00:06.1390000		Ifrit-Egi Burning Strike Ramuh 6674
00:00:06.1830000		Yoo Rose Energy Drain Ramuh 6865
00:00:06.1830000		Run Escape gains Battle Voice from Blue Fever
00:00:06.1830000		Ifrit-Egi gains Battle Voice from Blue Fever
00:00:06.1830000		Ifrit-Egi gains Summon Order II from Ifrit-Egi
00:00:06.2280000		Ifrit-Egi prepares Flaming Crush on Ramuh 16246 (DIRECT HIT)
00:00:06.2280000		Yoo Rose prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:06.2720000		Yujin Ahn Attack Ramuh 3939
00:00:06.2720000		Dan Tam Mug Ramuh 7536
00:00:06.3160000		Yoo Rose gains Battle Voice from Blue Fever
00:00:06.3160000		Aihyooni Yoomi prepares Broil III on Ramuh 19247
00:00:06.3160000		Ruby Carbuncle gains Battle Voice from Blue Fever
00:00:06.3610000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:06.3610000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:06.3610000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:06.3610000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:06.3610000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:06.3610000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:06.3610000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:06.3610000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:06.3610000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:06.3610000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:06.4050000		Dan Tam prepares Bunshin on Dan Tam 
00:00:06.4050000		Dan Tam gains Bunshin from Dan Tam
00:00:06.4500000		Aihyooni Yoomi gains Battle Voice from Blue Fever
00:00:06.4500000		Eos gains Battle Voice from Blue Fever
00:00:06.4940000		Run Escape prepares Item_Fb577 on Run Escape 
00:00:06.5380000		Ruby Carbuncle Inferno Ramuh 15351
00:00:06.5380000		Ramuh gains Inferno from Ruby Carbuncle
00:00:06.5830000		Dan Tam gains Battle Voice from Blue Fever
00:00:06.5830000		Blue Fever prepares Refulgent Arrow on Ramuh 18829
00:00:06.5830000		Dengue Fever prepares Glare on Ramuh 20604
00:00:06.6270000		Minju Rose prepares Attack on Ramuh 4825 (CRITICAL)
00:00:06.6720000		Dan Tam prepares Attack on Ramuh 7484 (CRITICAL)
00:00:06.7160000		Yujin Ahn gains Battle Voice from Blue Fever
00:00:06.8040000		Eos prepares Embrace on Minju Rose +6921 (CRITICAL)
00:00:06.8490000		Dengue Fever gains Battle Voice from Blue Fever
00:00:06.8930000		Ruby Carbuncle gains Summon Order II from Ruby Carbuncle
00:00:06.9370000		Ruby Carbuncle prepares Flaming Crush on Ramuh 13086
00:00:06.9370000		Aihyooni Yoomi prepares Ruin II on Ramuh 16952 (DIRECT HIT)
00:00:06.9820000		Minju Rose gains Battle Voice from Blue Fever
00:00:07.0270000		Yujin Ahn prepares Storm's Eye on Ramuh 10699
00:00:07.0710000		Minju Rose prepares Goring Blade on Ramuh 14236
00:00:07.1150000		Aihyooni Yoomi Broil III Ramuh 19247
00:00:07.1600000		Minju Rose Attack Ramuh 4825
00:00:07.1600000		Dan Tam prepares Aeolian Edge on Ramuh 19734
00:00:07.1600000		Dan Tam gains Bunshin from Dan Tam
00:00:07.2040000		Dan Tam Attack Ramuh 7484
00:00:07.2040000		Yoo Rose gains Aetherflow from Yoo Rose
00:00:07.2040000		Yoo Rose prepares Fester on Ramuh 33080 (CRITICAL)
00:00:07.2480000		Bunshin prepares Aeolian Edge on Ramuh 7179
00:00:07.2930000		Blue Fever prepares Sidewinder on Ramuh 16185
00:00:07.3820000		Ifrit-Egi Flaming Crush Ramuh 16246
00:00:07.3820000		Run Escape gains Further Ruin from Run Escape
00:00:07.3820000		Run Escape gains Medicated from Run Escape
00:00:07.3820000		Ifrit-Egi gains Medicated from Run Escape
00:00:07.4260000		Eos Embrace Minju Rose 6921
00:00:07.6030000		Minju Rose Goring Blade Ramuh 14236
00:00:07.6030000		Ramuh gains Goring Blade from Minju Rose
00:00:07.6920000		Dan Tam Aeolian Edge Ramuh 19734
00:00:07.6920000		Aihyooni Yoomi prepares Swiftcast on Aihyooni Yoomi 
00:00:07.6920000		Aihyooni Yoomi gains Swiftcast from Aihyooni Yoomi
00:00:07.7800000		Bunshin Aeolian Edge Ramuh 7179
00:00:07.8250000		Blue Fever Sidewinder Ramuh 16185
00:00:07.8250000		Blue Fever prepares Shot on Ramuh 5570 (DIRECT HIT)
00:00:07.8260000		Minju Rose prepares Intervene on Ramuh 6937
00:00:07.8700000		Aihyooni Yoomi Ruin II Ramuh 16952
00:00:07.8700000		The limit break guage has been updated to 510. 3 bars are available.
00:00:07.9140000		Dengue Fever Glare Ramuh 20604
00:00:08.0480000		Blue Fever Refulgent Arrow Ramuh 18829
00:00:08.0480000		Ruby Carbuncle prepares Burning Strike on Ramuh 4194
00:00:08.0930000		Ruby Carbuncle Flaming Crush Ramuh 13086
00:00:08.0930000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:08.0930000		Run Escape prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:08.1370000		Yoo Rose Fester Ramuh 33080
00:00:08.3590000		Aihyooni Yoomi prepares Chain Stratagem on Ramuh 
00:00:08.4030000		Minju Rose Intervene Ramuh 6937
00:00:08.4030000		Ifrit-Egi prepares Burning Strike on Ramuh 5778 (DIRECT HIT)
00:00:08.5810000		Blue Fever Shot Ramuh 5570
00:00:08.6700000		Yujin Ahn Storm's Eye Ramuh 10699
00:00:08.6700000		Yujin Ahn gains Storm's Eye from Yujin Ahn
00:00:08.6700000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:08.6700000		Dengue Fever prepares Glare on Ramuh 21197
00:00:08.7590000		Ifrit-Egi gains Summon Order from Ramuh
00:00:08.8480000		Ruby Carbuncle Burning Strike Ramuh 4194
00:00:08.8920000		Minju Rose prepares Attack on Ramuh 2936
00:00:08.8920000		Dan Tam prepares Attack on Ramuh 4507 (DIRECT HIT)
00:00:08.8920000		Run Escape prepares Addle on Ramuh 
00:00:08.9810000		Ifrit-Egi prepares Crimson Cyclone on Ramuh 19118 (DIRECT HIT)
00:00:09.0250000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:09.0250000		Aihyooni Yoomi prepares Energy Drain on Ramuh 9840
00:00:09.0700000		Blue Fever prepares Burst Shot on Ramuh 19953 (CRITICAL)
00:00:09.1140000		Yujin Ahn prepares Attack on Ramuh 8272 (CRITICAL)
00:00:09.1580000		Ramuh gains Chain Stratagem from Aihyooni Yoomi
00:00:09.2030000		Ifrit-Egi Burning Strike Ramuh 5778
00:00:09.2480000		Dan Tam prepares Spinning Edge on Ramuh 10830 (DIRECT HIT)
00:00:09.2480000		Dan Tam gains Bunshin from Dan Tam
00:00:09.3360000		Ruby Carbuncle gains Summon Order from Ramuh
00:00:09.3360000		Bunshin prepares Spinning Edge on Ramuh 13743 (CRITICAL)
00:00:09.3810000		Ruby Carbuncle prepares Crimson Cyclone on Ramuh 25144 (CRITICAL)
00:00:09.3810000		Yujin Ahn prepares Inner Chaos on Ramuh 59913 (CRITICAL)
00:00:09.3810000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:09.3810000		Bunshin gains Well Fed from Dan Tam
00:00:09.3810000		Bunshin gains Devotion from Ifrit-Egi
00:00:09.3810000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:09.3810000		Bunshin gains Battle Voice from Blue Fever
00:00:09.3810000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:09.3810000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:09.3810000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:09.3810000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:09.3810000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:09.3810000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:09.3810000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:09.3810000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:09.3810000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:09.4250000		Minju Rose Attack Ramuh 2936
00:00:09.4250000		Dan Tam Attack Ramuh 4507
00:00:09.4690000		Minju Rose prepares Fast Blade on Ramuh 9168 (DIRECT HIT)
00:00:09.5140000		Ramuh gains Addle from Run Escape
00:00:09.6030000		Ifrit-Egi Crimson Cyclone Ramuh 19118
00:00:09.6030000		Run Escape gains Further Ruin from Run Escape
00:00:09.6470000		Yujin Ahn Attack Ramuh 8272
00:00:09.6470000		Dan Tam Spinning Edge Ramuh 10830
00:00:09.6470000		Run Escape prepares Dreadwyrm Trance on Run Escape 
00:00:09.7350000		Bunshin Spinning Edge Ramuh 13743
00:00:09.7350000		Aihyooni Yoomi prepares Whispering Dawn on Aihyooni Yoomi 
00:00:09.7800000		Blue Fever prepares Pitch Perfect on Ramuh 24784
00:00:09.9570000		Dan Tam prepares Trick Attack on Ramuh 20661
00:00:09.9570000		Ramuh gains Vulnerability Up from Dan Tam
00:00:10.0010000		Ruby Carbuncle Crimson Cyclone Ramuh 25144
00:00:10.0010000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:10.0010000		Dengue Fever Glare Ramuh 21197
00:00:10.0890000		Minju Rose Fast Blade Ramuh 9168
00:00:10.0890000		Aihyooni Yoomi Energy Drain Ramuh 9840
00:00:10.1780000		Minju Rose prepares Reprisal on Ramuh 
00:00:10.3110000		Yujin Ahn Inner Chaos Ramuh 59913
00:00:10.4000000		Aihyooni Yoomi prepares Broil III on Ramuh 19687
00:00:10.5330000		Blue Fever Burst Shot Ramuh 19953
00:00:10.5330000		Eos gains Summon Order from Eos
00:00:10.5780000		Blue Fever Pitch Perfect Ramuh 24784
00:00:10.6230000		Run Escape prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:10.6670000		Eos prepares Embrace on Minju Rose +6686 (CRITICAL)
00:00:10.7550000		Dan Tam Trick Attack Ramuh 20661
00:00:10.7560000		Dengue Fever prepares Glare on Ramuh 21984
00:00:10.8450000		Ramuh gains Reprisal from Minju Rose
00:00:10.8890000		Blue Fever prepares Shot on Ramuh 5086
00:00:10.8890000		The limit break guage has been updated to 680. 3 bars are available.
00:00:11.0220000		Ruby Carbuncle prepares Burning Strike on Ramuh 5750 (DIRECT HIT)
00:00:11.1110000		Yoo Rose prepares Ruin III on Ramuh 16781 (DIRECT HIT)
00:00:11.1110000		Dan Tam prepares Attack on Ramuh 4104
00:00:11.1560000		Minju Rose prepares Attack on Ramuh 4903 (CRITICAL)
00:00:11.2000000		Aihyooni Yoomi Broil III Ramuh 19687
00:00:11.2890000		Eos Embrace Minju Rose 6686
00:00:11.2890000		Ifrit-Egi gains Summon Order II from Ifrit-Egi
00:00:11.3330000		Ifrit-Egi prepares Flaming Crush on Ramuh 19690 (DIRECT HIT)
00:00:11.3330000		Dan Tam prepares Shadow Fang on Ramuh 7968
00:00:11.3330000		Dan Tam gains Bunshin from Dan Tam
00:00:11.3770000		Run Escape prepares Enkindle: Inferno on Ramuh +239 (CRITICAL)
00:00:11.4230000		Bunshin prepares Shadow Fang on Ramuh 14494 (CRITICAL)
00:00:11.4230000		Yujin Ahn prepares Inner Release on Yujin Ahn 1177
00:00:11.4230000		Yujin Ahn gains Inner Release from Yujin Ahn
00:00:11.5550000		Blue Fever prepares Burst Shot on Ramuh 26070 (CRITICAL)
00:00:11.6440000		Blue Fever Shot Ramuh 5086
00:00:11.6440000		Dan Tam Attack Ramuh 4104
00:00:11.6890000		Minju Rose Attack Ramuh 4903
00:00:11.7330000		Eos prepares Whispering Dawn on Minju Rose 
00:00:11.7330000		Eos prepares Whispering Dawn on Dan Tam 
00:00:11.7330000		Eos prepares Whispering Dawn on Yujin Ahn 
00:00:11.7330000		Eos prepares Whispering Dawn on Dengue Fever 
00:00:11.7330000		Eos prepares Whispering Dawn on Aihyooni Yoomi 
00:00:11.7330000		Eos prepares Whispering Dawn on Run Escape 
00:00:11.7330000		Eos prepares Whispering Dawn on Yoo Rose 
00:00:11.7330000		Eos prepares Whispering Dawn on Blue Fever 
00:00:11.8220000		Ruby Carbuncle Burning Strike Ramuh 5750
00:00:11.8220000		Yoo Rose prepares Deathflare on Ramuh 33699 (DIRECT HIT)
00:00:11.8670000		Dan Tam Shadow Fang Ramuh 7968
00:00:11.8670000		Ramuh gains Shadow Fang from Dan Tam
00:00:11.8670000		Minju Rose prepares Riot Blade on Ramuh 13876 (DIRECT HIT)
00:00:11.9110000		Yoo Rose Ruin III Ramuh 16781
00:00:11.9110000		Ifrit-Egi prepares Burning Strike on Ramuh 4746
00:00:11.9110000		Ramuh prepares Judgment Volts on Ramuh 19381
00:00:11.9560000		Bunshin Shadow Fang Ramuh 14494
00:00:12		Dan Tam prepares Dream Within A Dream on Ramuh 8409
00:00:12		Dan Tam prepares Dream Within A Dream on Ramuh 10353 (DIRECT HIT)
00:00:12		Dan Tam prepares Dream Within A Dream on Ramuh 16654 (CRITICAL)
00:00:12		Dan Tam gains Assassinate Ready from Dan Tam
00:00:12.0440000		Dengue Fever Glare Ramuh 21984
00:00:12.0440000		Ifrit-Egi gains Summon Order III from Ramuh
00:00:12.0890000		Yujin Ahn prepares Fell Cleave on Ramuh 40161 (CRITICAL)
00:00:12.1780000		Run Escape gains Aetherflow from Run Escape
00:00:12.1780000		Run Escape prepares Fester on Ramuh 38606 (CRITICAL)
00:00:12.3570000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:12.3570000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:12.3570000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:12.3570000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:12.3570000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:12.3570000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:12.3570000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:12.3570000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:12.3570000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:12.3570000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:12.3570000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:12.4020000		Ramuh prepares Judgment Volts on Dan Tam 60680
