-00:00:02.0070000		Run Escape casts Ruin III on Ramuh
00:00:02.9030000		Ramuh gains Dia from Dengue Fever
00:00:02.9470000		Minju Rose Fast Blade Ramuh 7319
00:00:02.9470000		Yoo Rose prepares Dreadwyrm Trance on Yoo Rose 
00:00:03.0360000		Yoo Rose Tri-Disaster Ramuh 31783
00:00:03.0820000		Ramuh Unknown_4Bc9 Minju Rose 9795
00:00:03.0820000		Minju Rose prepares Circle Of Scorn on Ramuh 6655 (CRITICAL)
00:00:03.1260000		Ramuh gains Biolysis from Aihyooni Yoomi
00:00:03.1710000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:03.1710000		Aihyooni Yoomi prepares Aetherflow on Aihyooni Yoomi 1000
00:00:03.2160000		Blue Fever Bloodletter Ramuh 10339
00:00:03.2160000		Dengue Fever prepares Presence Of Mind on Dengue Fever 
00:00:03.3050000		Dengue Fever Assize Ramuh 42027
00:00:03.3490000		Ifrit-Egi gains Summon Order from Ramuh
00:00:03.3940000		Ifrit-Egi prepares Crimson Cyclone on Ramuh 20917 (CRITICAL)
00:00:03.4390000		Blue Fever prepares Caustic Bite on Ramuh 8391
00:00:03.4390000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:03.4840000		Run Escape gains Aetherflow from Run Escape
00:00:03.4840000		Run Escape prepares Energy Drain on Ramuh 8846 (DIRECT HIT)
00:00:03.7520000		Dengue Fever gains Presence Of Mind from Dengue Fever
00:00:03.8400000		Minju Rose prepares Fight Or Flight on Minju Rose 
00:00:03.9300000		Yoo Rose prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:03.9300000		Dan Tam prepares Attack on Ramuh 3824
00:00:03.9750000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:03.9750000		Aihyooni Yoomi prepares Energy Drain on Ramuh 11037
00:00:04.0200000		Ifrit-Egi Crimson Cyclone Ramuh 20917
00:00:04.0200000		Run Escape gains Further Ruin from Run Escape
00:00:04.0200000		Blue Fever prepares Shot on Ramuh 5661 (DIRECT HIT)
00:00:04.1090000		Minju Rose Circle Of Scorn Ramuh 6655
00:00:04.1090000		Ramuh gains Circle Of Scorn from Minju Rose
00:00:04.1530000		Blue Fever prepares Empyreal Arrow on Ramuh 12043
00:00:04.3310000		Dan Tam prepares Gust Slash on Ramuh 13312
00:00:04.3760000		Minju Rose prepares Attack on Ramuh 2273
00:00:04.3760000		Run Escape prepares Tri-Disaster on Ramuh 25612 (DIRECT HIT)
00:00:04.3760000		Ramuh gains Bio III from Run Escape
00:00:04.3760000		Ramuh gains Miasma III from Run Escape
00:00:04.4200000		The limit break guage has been updated to 340. 3 bars are available.
00:00:04.4650000		Minju Rose gains Fight Or Flight from Minju Rose
00:00:04.4650000		Dan Tam Attack Ramuh 3824
00:00:04.5100000		Run Escape Energy Drain Ramuh 8846
00:00:04.5540000		Ruby Carbuncle gains Summon Order II from Ruby Carbuncle
00:00:04.5990000		Ruby Carbuncle prepares Flaming Crush on Ramuh 13826
00:00:04.5990000		Yoo Rose prepares Enkindle: Inferno on Ramuh +239 (CRITICAL)
00:00:04.6440000		Yujin Ahn prepares Maim on Ramuh 8341
00:00:04.6890000		Minju Rose prepares Riot Blade on Ramuh 17325 (CRITICAL)
00:00:04.7340000		Blue Fever Caustic Bite Ramuh 8391
00:00:04.7340000		Ramuh gains Caustic Bite from Blue Fever
00:00:04.7340000		Dan Tam Gust Slash Ramuh 13312
00:00:04.7780000		Blue Fever Shot Ramuh 5661
00:00:04.8220000		Blue Fever prepares Battle Voice on Yoo Rose 
00:00:04.8220000		Blue Fever prepares Battle Voice on Run Escape 
00:00:04.8220000		Blue Fever prepares Battle Voice on Dan Tam 
00:00:04.8220000		Blue Fever prepares Battle Voice on Aihyooni Yoomi 
00:00:04.8220000		Blue Fever prepares Battle Voice on Yujin Ahn 
00:00:04.8220000		Blue Fever prepares Battle Voice on Dengue Fever 
00:00:04.8220000		Blue Fever prepares Battle Voice on Minju Rose 
00:00:04.9130000		Minju Rose Attack Ramuh 2273
00:00:05.0020000		Aihyooni Yoomi Energy Drain Ramuh 11037
00:00:05.0020000		Dan Tam prepares Mug on Ramuh 5971
00:00:05.0460000		Ifrit-Egi prepares Burning Strike on Ramuh 8753 (CRITICAL)
00:00:05.1810000		Blue Fever Empyreal Arrow Ramuh 12043
00:00:05.1810000		Run Escape Tri-Disaster Ramuh 25612
00:00:05.1810000		Ruby Carbuncle prepares Burning Strike on Ramuh 4152
00:00:05.2250000		Ruby Carbuncle gains Summon Order III from Ramuh
00:00:05.2250000		Run Escape prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:05.2690000		Yujin Ahn Maim Ramuh 8341
00:00:05.3140000		Yoo Rose gains Aetherflow from Yoo Rose
00:00:05.3140000		Yoo Rose prepares Energy Drain on Ramuh 13043 (CRITICAL)
00:00:05.3140000		Yujin Ahn prepares Infuriate on Yujin Ahn 
00:00:05.3140000		Ramuh prepares Unknown_4Bc9 on Minju Rose +21006 (CRITICAL)
00:00:05.3140000		Yujin Ahn gains Nascent Chaos from Yujin Ahn
00:00:05.4020000		Minju Rose prepares Intervene on Ramuh 7110
00:00:05.4470000		Yoo Rose gains Battle Voice from Blue Fever
00:00:05.4470000		Minju Rose Riot Blade Ramuh 17325
00:00:05.4470000		Ruby Carbuncle gains Battle Voice from Blue Fever
00:00:05.5350000		Dan Tam Mug Ramuh 5971
00:00:05.5350000		Dengue Fever prepares Glare on Ramuh 20740
00:00:05.5800000		Run Escape gains Battle Voice from Blue Fever
00:00:05.5800000		Ifrit-Egi gains Battle Voice from Blue Fever
00:00:05.6680000		Dan Tam prepares Bunshin on Dan Tam 
00:00:05.6690000		Dan Tam gains Bunshin from Dan Tam
00:00:05.7140000		Dan Tam gains Battle Voice from Blue Fever
00:00:05.7140000		Yujin Ahn prepares Attack on Ramuh 5990 (CRITICAL)
00:00:05.7580000		Ruby Carbuncle Flaming Crush Ramuh 13826
00:00:05.7580000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:05.7580000		Ruby Carbuncle prepares Inferno on Ramuh 16031
00:00:05.8470000		Aihyooni Yoomi gains Battle Voice from Blue Fever
00:00:05.8470000		Ifrit-Egi Burning Strike Ramuh 8753
00:00:05.8470000		Eos gains Battle Voice from Blue Fever
00:00:05.8910000		Ifrit-Egi gains Summon Order II from Ifrit-Egi
00:00:05.9360000		Ifrit-Egi prepares Flaming Crush on Ramuh 16879 (DIRECT HIT)
00:00:05.9360000		Blue Fever prepares Refulgent Arrow on Ramuh 23101 (DIRECT HIT)
00:00:05.9800000		Yujin Ahn gains Battle Voice from Blue Fever
00:00:05.9800000		Ruby Carbuncle Burning Strike Ramuh 4152
00:00:05.9800000		Minju Rose Intervene Ramuh 7110
00:00:06.0700000		Run Escape prepares Item_Fb577 on Run Escape 
00:00:06.1150000		Dengue Fever gains Battle Voice from Blue Fever
00:00:06.1150000		Ramuh Unknown_4Bc9 Minju Rose 21006
00:00:06.1150000		Dan Tam prepares Attack on Ramuh 3868
00:00:06.2470000		Minju Rose gains Battle Voice from Blue Fever
00:00:06.2470000		Yujin Ahn Attack Ramuh 5990
00:00:06.3370000		Yoo Rose Energy Drain Ramuh 13043
00:00:06.3820000		Yoo Rose prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:06.4270000		Dan Tam prepares Aeolian Edge on Ramuh 22837 (DIRECT HIT)
00:00:06.4270000		Dan Tam gains Bunshin from Dan Tam
00:00:06.5150000		Bunshin prepares Aeolian Edge on Ramuh 6951
00:00:06.5600000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:06.5600000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:06.5600000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:06.5600000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:06.5600000		Bunshin gains Well Fed from Dan Tam
00:00:06.5600000		Bunshin gains Devotion from Ifrit-Egi
00:00:06.5600000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:06.5600000		Bunshin gains Battle Voice from Blue Fever
00:00:06.5600000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:06.5600000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:06.5600000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:06.5600000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:06.5600000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:06.5600000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:06.6500000		Dan Tam Attack Ramuh 3868
00:00:06.6500000		Blue Fever prepares Sidewinder on Ramuh 21422 (DIRECT HIT)
00:00:06.6500000		Minju Rose prepares Attack on Ramuh 5728 (CRITICAL)
00:00:06.6940000		Ruby Carbuncle Inferno Ramuh 16031
00:00:06.6940000		Ramuh gains Inferno from Ruby Carbuncle
00:00:06.8280000		Dengue Fever Glare Ramuh 20740
00:00:06.9170000		Eos prepares Embrace on Minju Rose +4652
00:00:06.9170000		Aihyooni Yoomi prepares Broil III on Ramuh 20805
00:00:06.9620000		Dan Tam Aeolian Edge Ramuh 22837
00:00:06.9620000		Run Escape gains Medicated from Run Escape
00:00:06.9620000		Yujin Ahn prepares Storm's Eye on Ramuh 18000 (CRITICAL)
00:00:06.9620000		Ifrit-Egi gains Medicated from Run Escape
00:00:07.0060000		Ruby Carbuncle gains Summon Order II from Ruby Carbuncle
00:00:07.0510000		Bunshin Aeolian Edge Ramuh 6951
00:00:07.0510000		Ruby Carbuncle prepares Flaming Crush on Ramuh 12932
00:00:07.0970000		Ifrit-Egi Flaming Crush Ramuh 16879
00:00:07.0970000		Run Escape gains Further Ruin from Run Escape
00:00:07.0970000		Blue Fever prepares Shot on Ramuh 6094 (DIRECT HIT)
00:00:07.0970000		Minju Rose prepares Goring Blade on Ramuh 13395
00:00:07.1850000		Blue Fever Sidewinder Ramuh 21422
00:00:07.1850000		Minju Rose Attack Ramuh 5728
00:00:07.4090000		Blue Fever Refulgent Arrow Ramuh 23101
00:00:07.4090000		The limit break guage has been updated to 510. 3 bars are available.
00:00:07.4980000		Aihyooni Yoomi prepares Ruin II on Ramuh 14865
00:00:07.5420000		Eos Embrace Minju Rose 4652
00:00:07.5870000		Yoo Rose gains Aetherflow from Yoo Rose
00:00:07.5870000		Yoo Rose prepares Fester on Ramuh 19376
00:00:07.6310000		Minju Rose Goring Blade Ramuh 13395
00:00:07.6310000		Ramuh gains Goring Blade from Minju Rose
00:00:07.6310000		Dengue Fever prepares Glare on Ramuh 20475
00:00:07.7210000		Aihyooni Yoomi Broil III Ramuh 20805
00:00:07.7660000		Run Escape prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:07.8550000		Blue Fever Shot Ramuh 6094
00:00:08.1230000		Ifrit-Egi prepares Burning Strike on Ramuh 9249 (CRITICAL)
00:00:08.1670000		Ruby Carbuncle prepares Burning Strike on Ramuh 5460 (DIRECT HIT)
00:00:08.2110000		Ruby Carbuncle Flaming Crush Ramuh 12932
00:00:08.2110000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:08.2560000		Aihyooni Yoomi prepares Swiftcast on Aihyooni Yoomi 
00:00:08.2560000		Aihyooni Yoomi gains Swiftcast from Aihyooni Yoomi
00:00:08.3000000		Dan Tam prepares Attack on Ramuh 4559 (DIRECT HIT)
00:00:08.3890000		Ifrit-Egi gains Summon Order from Ramuh
00:00:08.4340000		Aihyooni Yoomi Ruin II Ramuh 14865
00:00:08.4340000		Blue Fever prepares Burst Shot on Ramuh 19740 (CRITICAL)
00:00:08.4340000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:08.5230000		Yoo Rose Fester Ramuh 19376
00:00:08.5230000		Dan Tam prepares Spinning Edge on Ramuh 11313 (DIRECT HIT)
00:00:08.5230000		Dan Tam gains Bunshin from Dan Tam
00:00:08.6120000		Yujin Ahn Storm's Eye Ramuh 18000
00:00:08.6120000		Yujin Ahn gains Storm's Eye from Yujin Ahn
00:00:08.6120000		Bunshin prepares Spinning Edge on Ramuh 13637 (CRITICAL)
00:00:08.6120000		Run Escape prepares Addle on Ramuh 
00:00:08.7000000		Ifrit-Egi prepares Crimson Cyclone on Ramuh 14549
00:00:08.8330000		Dan Tam Attack Ramuh 4559
00:00:08.8330000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:08.9230000		Ifrit-Egi Burning Strike Ramuh 9249
00:00:08.9230000		Dengue Fever Glare Ramuh 20475
00:00:08.9230000		Dan Tam Spinning Edge Ramuh 11313
00:00:08.9230000		Minju Rose prepares Attack on Ramuh 5854 (CRITICAL)
00:00:08.9680000		Ruby Carbuncle Burning Strike Ramuh 5460
00:00:09.0120000		Bunshin Spinning Edge Ramuh 13637
00:00:09.0570000		Aihyooni Yoomi prepares Chain Stratagem on Ramuh 
00:00:09.1020000		Yujin Ahn prepares Attack on Ramuh 3956
00:00:09.2350000		Ramuh gains Addle from Run Escape
00:00:09.2810000		Dan Tam prepares Trick Attack on Ramuh 30015 (CRITICAL)
00:00:09.2810000		Ramuh gains Vulnerability Up from Dan Tam
00:00:09.3240000		Ifrit-Egi Crimson Cyclone Ramuh 14549
00:00:09.3240000		Run Escape gains Further Ruin from Run Escape
00:00:09.3240000		Yujin Ahn prepares Inner Chaos on Ramuh 59692 (CRITICAL)
00:00:09.4140000		Run Escape prepares Dreadwyrm Trance on Run Escape 
00:00:09.4580000		Ruby Carbuncle gains Summon Order from Ramuh
00:00:09.4580000		Minju Rose Attack Ramuh 5854
00:00:09.5030000		Ruby Carbuncle prepares Crimson Cyclone on Ramuh 17945 (DIRECT HIT)
00:00:09.5030000		Minju Rose prepares Fast Blade on Ramuh 7452
00:00:09.5920000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:09.5920000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:09.5920000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:09.5920000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:09.5920000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:09.5920000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:09.5920000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:09.5920000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:09.5920000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:09.5920000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:09.5920000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:09.6360000		Yujin Ahn Attack Ramuh 3956
00:00:09.7250000		Dengue Fever prepares Glare on Ramuh 22792
00:00:09.8590000		Ramuh gains Chain Stratagem from Aihyooni Yoomi
00:00:09.9050000		Blue Fever Burst Shot Ramuh 19740
00:00:09.9930000		Aihyooni Yoomi prepares Broil III on Ramuh 22116
00:00:10.0830000		Dan Tam Trick Attack Ramuh 30015
00:00:10.1280000		Ruby Carbuncle Crimson Cyclone Ramuh 17945
00:00:10.1280000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:10.1280000		Minju Rose Fast Blade Ramuh 7452
00:00:10.1720000		Blue Fever prepares Shot on Ramuh 10006 (CRITICAL)
00:00:10.2620000		Yujin Ahn Inner Chaos Ramuh 59692
00:00:10.3060000		Run Escape prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:10.3960000		The limit break guage has been updated to 680. 3 bars are available.
00:00:10.4850000		Dan Tam prepares Attack on Ramuh 4091
00:00:10.5760000		Dan Tam prepares Shadow Fang on Ramuh 8341
00:00:10.5760000		Dan Tam gains Bunshin from Dan Tam
00:00:10.6640000		Bunshin prepares Shadow Fang on Ramuh 14313 (CRITICAL)
00:00:10.6640000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:10.6640000		Aihyooni Yoomi prepares Energy Drain on Ramuh 17574 (CRITICAL)
00:00:10.7980000		Aihyooni Yoomi Broil III Ramuh 22116
00:00:10.7980000		Eos prepares Embrace on Minju Rose +4625
00:00:10.8870000		Blue Fever prepares Refulgent Arrow on Ramuh 18555
00:00:10.9310000		Blue Fever Shot Ramuh 10006
00:00:10.9310000		Ifrit-Egi gains Summon Order II from Ifrit-Egi
00:00:10.9760000		Ifrit-Egi prepares Flaming Crush on Ramuh 24614 (CRITICAL)
00:00:11.0210000		Dengue Fever Glare Ramuh 22792
00:00:11.0210000		Dan Tam Attack Ramuh 4091
00:00:11.1100000		Dan Tam Shadow Fang Ramuh 8341
00:00:11.1100000		Ramuh gains Shadow Fang from Dan Tam
00:00:11.1550000		Ruby Carbuncle prepares Burning Strike on Ramuh 5625 (DIRECT HIT)
00:00:11.1550000		Run Escape prepares Enkindle: Inferno on Ramuh +239 (CRITICAL)
00:00:11.1990000		Bunshin Shadow Fang Ramuh 14313
00:00:11.1990000		Minju Rose prepares Attack on Ramuh 4825 (CRITICAL)
00:00:11.2440000		Dan Tam prepares Dream Within A Dream on Ramuh 10343 (DIRECT HIT)
00:00:11.2440000		Dan Tam prepares Dream Within A Dream on Ramuh 8562
00:00:11.2440000		Dan Tam prepares Dream Within A Dream on Ramuh 10183 (DIRECT HIT)
00:00:11.2440000		Dan Tam gains Assassinate Ready from Dan Tam
00:00:11.2890000		Yoo Rose prepares Ruin III on Ramuh 13834
00:00:11.3330000		Yujin Ahn prepares Inner Release on Yujin Ahn 1177
00:00:11.3330000		Aihyooni Yoomi prepares Whispering Dawn on Aihyooni Yoomi 
00:00:11.3330000		Yujin Ahn gains Inner Release from Yujin Ahn
00:00:11.4210000		Eos Embrace Minju Rose 4625
00:00:11.5540000		Ifrit-Egi prepares Burning Strike on Ramuh 5045
00:00:11.6440000		Blue Fever prepares Barrage on Blue Fever 128 (DIRECT HIT)
00:00:11.6440000		Blue Fever gains Barrage from Blue Fever
00:00:11.6440000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:11.6880000		Aihyooni Yoomi Energy Drain Ramuh 17574
00:00:11.7330000		Minju Rose Attack Ramuh 4825
00:00:11.8210000		Ifrit-Egi gains Summon Order III from Ramuh
00:00:11.8660000		Minju Rose prepares Riot Blade on Ramuh 17913 (CRITICAL)
00:00:11.8660000		Dengue Fever prepares Glare on Ramuh 44757 (CRITICAL)
00:00:11.9100000		Run Escape gains Aetherflow from Run Escape
00:00:11.9100000		Run Escape prepares Fester on Ramuh 30202 (DIRECT HIT)
00:00:11.9100000		Ramuh prepares Judgment Volts on Ramuh 19381
00:00:11.9540000		Ruby Carbuncle Burning Strike Ramuh 5625
00:00:11.9540000		Dan Tam Dream Within A Dream Ramuh 10343
00:00:12		Yujin Ahn prepares Fell Cleave on Ramuh 40452 (CRITICAL)
00:00:12.0890000		Yoo Rose Ruin III Ramuh 13834
00:00:12.0890000		Dan Tam Dream Within A Dream Ramuh 8562
00:00:12.0890000		Yoo Rose prepares Deathflare on Ramuh 46004 (CRITICAL)
00:00:12.1340000		Ifrit-Egi Flaming Crush Ramuh 24614
00:00:12.1340000		Run Escape gains Further Ruin from Run Escape
00:00:12.1340000		Eos gains Summon Order from Eos
00:00:12.1340000		Ifrit-Egi prepares Inferno on Ramuh 22959 (DIRECT HIT)
00:00:12.1770000		Eos prepares Whispering Dawn on Minju Rose 
00:00:12.1770000		Eos prepares Whispering Dawn on Dan Tam 
00:00:12.1770000		Eos prepares Whispering Dawn on Aihyooni Yoomi 
00:00:12.1770000		Eos prepares Whispering Dawn on Dengue Fever 
00:00:12.1770000		Eos prepares Whispering Dawn on Yujin Ahn 
00:00:12.1770000		Eos prepares Whispering Dawn on Run Escape 
00:00:12.1770000		Eos prepares Whispering Dawn on Yoo Rose 
00:00:12.1770000		Eos prepares Whispering Dawn on Blue Fever 
00:00:12.2220000		Dan Tam Dream Within A Dream Ramuh 10183
00:00:12.3550000		Blue Fever Refulgent Arrow Ramuh 18555
00:00:12.3550000		Ifrit-Egi Burning Strike Ramuh 5045
00:00:12.4000000		Ramuh prepares Judgment Volts on Dan Tam 50764
00:00:12.4000000		Ramuh prepares Judgment Volts on Aihyooni Yoomi 43917
00:00:12.4000000		Ramuh prepares Judgment Volts on Yujin Ahn 23367
00:00:12.4000000		Ramuh prepares Judgment Volts on Minju Rose 41731
00:00:12.4000000		Ramuh prepares Judgment Volts on Dengue Fever 46545
00:00:12.4000000		Ramuh prepares Judgment Volts on Run Escape 43304
00:00:12.4000000		Ramuh prepares Judgment Volts on Yoo Rose 44799
00:00:12.4000000		Ramuh prepares Judgment Volts on Blue Fever 46891
00:00:12.4890000		Yujin Ahn prepares Attack on Ramuh 8745 (CRITICAL)
00:00:12.5790000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:12.5790000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:12.5790000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:12.5790000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:12.5790000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:12.5790000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:12.5790000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:12.5790000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:12.5790000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
