-00:00:01.9660000		Dengue Fever casts Glare on Ramuh
00:00:02.8610000		Ifrit-Egi gains Summon Order from Ramuh
00:00:02.8610000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:02.8610000		Aihyooni Yoomi prepares Energy Drain on Ramuh 11441
00:00:02.9050000		Ifrit-Egi prepares Crimson Cyclone on Ramuh 17383 (DIRECT HIT)
00:00:02.9500000		Blue Fever The Wanderer's Minuet Ramuh 7223
00:00:02.9500000		Dan Tam Attack Ramuh 4898
00:00:02.9950000		Run Escape gains Aetherflow from Run Escape
00:00:02.9950000		Run Escape prepares Energy Drain on Ramuh 6569
00:00:03.0400000		Dengue Fever Assize Ramuh 27294
00:00:03.0400000		Dengue Fever prepares Presence Of Mind on Dengue Fever 
00:00:03.0400000		The limit break guage has been updated to 170. 3 bars are available.
00:00:03.2630000		Blue Fever Bloodletter Ramuh 12987
00:00:03.3070000		Minju Rose Fast Blade Ramuh 5682
00:00:03.3520000		Ramuh Unknown_4Bc9 Minju Rose 5251
00:00:03.3520000		Blue Fever prepares Caustic Bite on Ramuh 10630 (DIRECT HIT)
00:00:03.3520000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:03.3970000		Minju Rose prepares Circle Of Scorn on Ramuh 6493 (CRITICAL)
00:00:03.5300000		Ifrit-Egi Crimson Cyclone Ramuh 17383
00:00:03.5300000		Run Escape gains Further Ruin from Run Escape
00:00:03.5750000		Dengue Fever gains Presence Of Mind from Dengue Fever
00:00:03.7090000		Yoo Rose prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:03.7540000		Run Escape prepares Tri-Disaster on Ramuh 42300 (CRITICAL)
00:00:03.7540000		Ramuh gains Bio III from Run Escape
00:00:03.7540000		Ramuh gains Miasma III from Run Escape
00:00:03.8870000		Aihyooni Yoomi Energy Drain Ramuh 11441
00:00:03.9770000		Blue Fever prepares Shot on Ramuh 7126 (CRITICAL)
00:00:04.0210000		Run Escape Energy Drain Ramuh 6569
00:00:04.0670000		Blue Fever prepares Empyreal Arrow on Ramuh 12494
00:00:04.1560000		Dan Tam prepares Gust Slash on Ramuh 21348 (CRITICAL)
00:00:04.2010000		Minju Rose prepares Fight Or Flight on Minju Rose 
00:00:04.2890000		Eos prepares Embrace on Minju Rose +4589
00:00:04.3340000		Ruby Carbuncle gains Summon Order II from Ruby Carbuncle
00:00:04.3790000		Ruby Carbuncle prepares Flaming Crush on Ramuh 26169 (CRITICAL)
00:00:04.3790000		Yoo Rose prepares Enkindle: Inferno on Ramuh +239 (CRITICAL)
00:00:04.4230000		Minju Rose Circle Of Scorn Ramuh 6493
00:00:04.4230000		Ramuh gains Circle Of Scorn from Minju Rose
00:00:04.5570000		Dan Tam Gust Slash Ramuh 21348
00:00:04.5570000		Run Escape Tri-Disaster Ramuh 42300
00:00:04.5570000		Ifrit-Egi prepares Burning Strike on Ramuh 4253
00:00:04.6010000		Minju Rose prepares Attack on Ramuh 2340
00:00:04.6010000		Dan Tam prepares Attack on Ramuh 4822 (DIRECT HIT)
00:00:04.6460000		Blue Fever Caustic Bite Ramuh 10630
00:00:04.6460000		Ramuh gains Caustic Bite from Blue Fever
00:00:04.6460000		Yujin Ahn prepares Maim on Ramuh 14250 (CRITICAL)
00:00:04.7340000		Blue Fever Shot Ramuh 7126
00:00:04.7790000		Run Escape prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:04.8240000		Minju Rose gains Fight Or Flight from Minju Rose
00:00:04.8240000		Dan Tam prepares Mug on Ramuh 9474 (CRITICAL)
00:00:04.9130000		Blue Fever prepares Battle Voice on Run Escape 
00:00:04.9130000		Blue Fever prepares Battle Voice on Yoo Rose 
00:00:04.9130000		Blue Fever prepares Battle Voice on Aihyooni Yoomi 
00:00:04.9130000		Blue Fever prepares Battle Voice on Dan Tam 
00:00:04.9130000		Blue Fever prepares Battle Voice on Yujin Ahn 
00:00:04.9130000		Blue Fever prepares Battle Voice on Dengue Fever 
00:00:04.9130000		Blue Fever prepares Battle Voice on Minju Rose 
00:00:04.9570000		Ruby Carbuncle prepares Burning Strike on Ramuh 8753 (CRITICAL)
00:00:05.0020000		Ruby Carbuncle gains Summon Order III from Ramuh
00:00:05.0470000		Minju Rose prepares Riot Blade on Ramuh 10190
00:00:05.0910000		Blue Fever Empyreal Arrow Ramuh 12494
00:00:05.0910000		Yoo Rose gains Aetherflow from Yoo Rose
00:00:05.0910000		Yoo Rose prepares Energy Drain on Ramuh 8736 (DIRECT HIT)
00:00:05.1360000		Minju Rose Attack Ramuh 2340
00:00:05.1360000		Dan Tam Attack Ramuh 4822
00:00:05.2700000		Yujin Ahn Maim Ramuh 14250
00:00:05.2700000		Dengue Fever prepares Glare on Ramuh 20374
00:00:05.3590000		Ifrit-Egi Burning Strike Ramuh 4253
00:00:05.3590000		Dan Tam Mug Ramuh 9474
00:00:05.4040000		Ifrit-Egi gains Summon Order II from Ifrit-Egi
00:00:05.4040000		Yujin Ahn prepares Infuriate on Yujin Ahn 
00:00:05.4040000		Yujin Ahn gains Nascent Chaos from Yujin Ahn
00:00:05.4480000		Ifrit-Egi prepares Flaming Crush on Ramuh 13028
00:00:05.4930000		Dan Tam prepares Bunshin on Dan Tam 
00:00:05.4930000		Dan Tam gains Bunshin from Dan Tam
00:00:05.5380000		Ruby Carbuncle Flaming Crush Ramuh 26169
00:00:05.5380000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:05.5380000		Run Escape gains Battle Voice from Blue Fever
00:00:05.5380000		Ruby Carbuncle prepares Inferno on Ramuh 15894
00:00:05.5380000		Ifrit-Egi gains Battle Voice from Blue Fever
00:00:05.5820000		Ramuh prepares Unknown_4Bc9 on Minju Rose 26157
00:00:05.6720000		Yoo Rose gains Battle Voice from Blue Fever
00:00:05.6720000		Ruby Carbuncle gains Battle Voice from Blue Fever
00:00:05.7170000		Minju Rose prepares Intervene on Ramuh 6964
00:00:05.7170000		Yujin Ahn prepares Attack on Ramuh 3609
00:00:05.7610000		Ruby Carbuncle Burning Strike Ramuh 8753
00:00:05.7610000		Aihyooni Yoomi prepares Broil III on Ramuh 33315 (CRITICAL)
00:00:05.8050000		Aihyooni Yoomi gains Battle Voice from Blue Fever
00:00:05.8050000		Minju Rose Riot Blade Ramuh 10190
00:00:05.8050000		Blue Fever prepares Refulgent Arrow on Ramuh 17218
00:00:05.8050000		Eos gains Battle Voice from Blue Fever
00:00:05.9390000		Dan Tam gains Battle Voice from Blue Fever
00:00:05.9390000		Bunshin gains Well Fed from Dan Tam
00:00:05.9390000		Bunshin gains Devotion from Ifrit-Egi
00:00:05.9390000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:05.9390000		Bunshin gains Battle Voice from Blue Fever
00:00:06.0740000		Yujin Ahn gains Battle Voice from Blue Fever
00:00:06.0740000		The limit break guage has been updated to 340. 3 bars are available.
00:00:06.1180000		Yoo Rose Energy Drain Ramuh 8736
00:00:06.1620000		Yoo Rose prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:06.2070000		Dengue Fever gains Battle Voice from Blue Fever
00:00:06.2520000		Yujin Ahn Attack Ramuh 3609
00:00:06.2520000		Dan Tam prepares Aeolian Edge on Ramuh 24648 (DIRECT HIT)
00:00:06.2520000		Dan Tam gains Bunshin from Dan Tam
00:00:06.2970000		Minju Rose Intervene Ramuh 6964
00:00:06.3410000		Minju Rose gains Battle Voice from Blue Fever
00:00:06.3410000		Bunshin prepares Aeolian Edge on Ramuh 8851 (DIRECT HIT)
00:00:06.3860000		Ramuh Unknown_4Bc9 Minju Rose 26157
00:00:06.4310000		Aihyooni Yoomi prepares Ruin II on Ramuh 19012 (DIRECT HIT)
00:00:06.4760000		Ruby Carbuncle Inferno Ramuh 15894
00:00:06.4760000		Ramuh gains Inferno from Ruby Carbuncle
00:00:06.5660000		Dengue Fever Glare Ramuh 20374
00:00:06.5660000		Aihyooni Yoomi Broil III Ramuh 33315
00:00:06.5660000		Blue Fever prepares Sidewinder on Ramuh 15865
00:00:06.5660000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:06.5660000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:06.5660000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:06.5660000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:06.5660000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:06.5660000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:06.5660000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:06.5660000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:06.5660000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:06.5660000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:06.5660000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:06.6100000		Ifrit-Egi Flaming Crush Ramuh 13028
00:00:06.6100000		Run Escape gains Further Ruin from Run Escape
00:00:06.7870000		Ruby Carbuncle gains Summon Order II from Ruby Carbuncle
00:00:06.7870000		Dan Tam Aeolian Edge Ramuh 24648
00:00:06.7870000		Dan Tam prepares Attack on Ramuh 7053 (CRITICAL)
00:00:06.8320000		Ruby Carbuncle prepares Flaming Crush on Ramuh 25552 (CRITICAL)
00:00:06.8320000		Yoo Rose prepares Aetherpact on Yoo Rose +239 (CRITICAL)
00:00:06.8770000		Bunshin Aeolian Edge Ramuh 8851
00:00:06.8770000		Minju Rose prepares Attack on Ramuh 5958 (CRITICAL)
00:00:06.9660000		Yujin Ahn prepares Storm's Eye on Ramuh 10926
00:00:07.0560000		Blue Fever prepares Shot on Ramuh 6032 (DIRECT HIT)
00:00:07.1000000		Blue Fever Sidewinder Ramuh 15865
00:00:07.1000000		Aihyooni Yoomi prepares Swiftcast on Aihyooni Yoomi 
00:00:07.1000000		Aihyooni Yoomi gains Swiftcast from Aihyooni Yoomi
00:00:07.2790000		Blue Fever Refulgent Arrow Ramuh 17218
00:00:07.3230000		Dan Tam Attack Ramuh 7053
00:00:07.3230000		Run Escape prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:07.3680000		Aihyooni Yoomi Ruin II Ramuh 19012
00:00:07.4130000		Minju Rose Attack Ramuh 5958
00:00:07.4130000		Minju Rose prepares Goring Blade on Ramuh 17620 (DIRECT HIT)
00:00:07.4570000		Ruby Carbuncle gains Summon Order IV from Ruby Carbuncle
00:00:07.5020000		Ruby Carbuncle prepares Devotion on Dan Tam 
00:00:07.5020000		Ruby Carbuncle prepares Devotion on Minju Rose 
00:00:07.5020000		Ruby Carbuncle prepares Devotion on Yujin Ahn 
00:00:07.5020000		Ruby Carbuncle prepares Devotion on Aihyooni Yoomi 
00:00:07.5020000		Ruby Carbuncle prepares Devotion on Dengue Fever 
00:00:07.5020000		Ruby Carbuncle prepares Devotion on Run Escape 
00:00:07.5020000		Ruby Carbuncle prepares Devotion on Yoo Rose 
00:00:07.5020000		Ruby Carbuncle prepares Devotion on Blue Fever 
00:00:07.5470000		Yoo Rose gains Aetherflow from Yoo Rose
00:00:07.5470000		Yoo Rose prepares Fester on Ramuh 25426 (DIRECT HIT)
00:00:07.6360000		Ifrit-Egi prepares Burning Strike on Ramuh 4342
00:00:07.7250000		Dengue Fever prepares Glare on Ramuh 31817 (CRITICAL)
00:00:07.8150000		Blue Fever Shot Ramuh 6032
00:00:07.8150000		Aihyooni Yoomi prepares Chain Stratagem on Ramuh 
00:00:07.9490000		Minju Rose Goring Blade Ramuh 17620
00:00:07.9490000		Ramuh gains Goring Blade from Minju Rose
00:00:07.9490000		Ifrit-Egi gains Summon Order from Ramuh
00:00:07.9930000		Ruby Carbuncle Flaming Crush Ramuh 25552
00:00:07.9930000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:08.0380000		Run Escape prepares Addle on Ramuh 
00:00:08.0820000		Eos prepares Embrace on Minju Rose +4559
00:00:08.2170000		Ifrit-Egi prepares Crimson Cyclone on Ramuh 27147 (CRITICAL)
00:00:08.2620000		Blue Fever prepares Burst Shot on Ramuh 13036
00:00:08.2620000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:08.3060000		Dan Tam gains Devotion from Ruby Carbuncle
00:00:08.3060000		Bunshin gains Devotion from Ruby Carbuncle
00:00:08.3500000		Dan Tam prepares Spinning Edge on Ramuh 8585
00:00:08.3500000		Dan Tam gains Bunshin from Dan Tam
00:00:08.4390000		Minju Rose gains Devotion from Ruby Carbuncle
00:00:08.4390000		Ifrit-Egi Burning Strike Ramuh 4342
00:00:08.4390000		Bunshin prepares Spinning Edge on Ramuh 13816 (CRITICAL)
00:00:08.4840000		Yoo Rose Fester Ramuh 25426
00:00:08.5730000		Yujin Ahn gains Devotion from Ruby Carbuncle
00:00:08.6180000		Yujin Ahn Storm's Eye Ramuh 10926
00:00:08.6180000		Yujin Ahn gains Storm's Eye from Yujin Ahn
00:00:08.6180000		Ramuh gains Chain Stratagem from Aihyooni Yoomi
00:00:08.6180000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:08.6630000		Ramuh gains Addle from Run Escape
00:00:08.7070000		Aihyooni Yoomi gains Devotion from Ruby Carbuncle
00:00:08.7070000		Eos Embrace Minju Rose 4559
00:00:08.7070000		Eos gains Devotion from Ruby Carbuncle
00:00:08.7510000		Dan Tam Spinning Edge Ramuh 8585
00:00:08.8400000		Dengue Fever gains Devotion from Ruby Carbuncle
00:00:08.8400000		Ifrit-Egi Crimson Cyclone Ramuh 27147
00:00:08.8400000		Run Escape gains Further Ruin from Run Escape
00:00:08.8400000		Bunshin Spinning Edge Ramuh 13816
00:00:08.9300000		Aihyooni Yoomi prepares Broil III on Ramuh 25024 (DIRECT HIT)
00:00:08.9740000		Run Escape gains Devotion from Ruby Carbuncle
00:00:08.9740000		Dan Tam prepares Attack on Ramuh 7145 (CRITICAL)
00:00:08.9740000		Ifrit-Egi gains Devotion from Ruby Carbuncle
00:00:09.0190000		Dengue Fever Glare Ramuh 31817
00:00:09.0190000		Dan Tam prepares Trick Attack on Ramuh 25494 (DIRECT HIT)
00:00:09.0190000		Run Escape prepares Dreadwyrm Trance on Run Escape 
00:00:09.0190000		Ramuh gains Vulnerability Up from Dan Tam
00:00:09.0640000		Ruby Carbuncle prepares Burning Strike on Ramuh 9096 (CRITICAL)
00:00:09.0640000		The limit break guage has been updated to 510. 3 bars are available.
00:00:09.1080000		Yoo Rose gains Devotion from Ruby Carbuncle
00:00:09.1080000		Ruby Carbuncle gains Devotion from Ruby Carbuncle
00:00:09.1080000		Yujin Ahn prepares Attack on Ramuh 4452
00:00:09.1520000		Minju Rose prepares Attack on Ramuh 3225
00:00:09.2410000		Ruby Carbuncle gains Summon Order from Ramuh
00:00:09.2410000		Blue Fever gains Devotion from Ruby Carbuncle
00:00:09.3310000		Yujin Ahn prepares Inner Chaos on Ramuh 61878 (CRITICAL)
00:00:09.5090000		Dan Tam Attack Ramuh 7145
00:00:09.5540000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:09.5540000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:09.5540000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:09.5540000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:09.5540000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:09.5540000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:09.5540000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:09.5540000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:09.5540000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:09.5540000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:09.5540000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:09.5980000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:09.5980000		Aihyooni Yoomi prepares Energy Drain on Ramuh 11193
00:00:09.6420000		Yujin Ahn Attack Ramuh 4452
00:00:09.6420000		Ruby Carbuncle prepares Crimson Cyclone on Ramuh 17545 (DIRECT HIT)
00:00:09.6860000		Minju Rose Attack Ramuh 3225
00:00:09.7310000		Blue Fever Burst Shot Ramuh 13036
00:00:09.7320000		Aihyooni Yoomi Broil III Ramuh 25024
00:00:09.8210000		Dan Tam Trick Attack Ramuh 25494
00:00:09.8210000		Minju Rose prepares Fast Blade on Ramuh 11887 (CRITICAL)
00:00:09.8210000		Dengue Fever prepares Glare on Ramuh 20934
00:00:09.8650000		Ruby Carbuncle Burning Strike Ramuh 9096
00:00:09.8650000		Run Escape prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:10.1340000		Blue Fever prepares Shot on Ramuh 4853
00:00:10.2670000		Ruby Carbuncle Crimson Cyclone Ramuh 17545
00:00:10.2670000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:10.2670000		Yujin Ahn Inner Chaos Ramuh 61878
00:00:10.3120000		Aihyooni Yoomi prepares Whispering Dawn on Aihyooni Yoomi 
00:00:10.4460000		Minju Rose Fast Blade Ramuh 11887
00:00:10.4460000		Dan Tam prepares Shadow Fang on Ramuh 8388
00:00:10.4460000		Dan Tam gains Bunshin from Dan Tam
00:00:10.4900000		Ifrit-Egi gains Summon Order II from Ifrit-Egi
00:00:10.5350000		Ifrit-Egi prepares Flaming Crush on Ramuh 14072
00:00:10.5350000		Bunshin prepares Shadow Fang on Ramuh 11909 (CRITICAL)
00:00:10.6240000		Aihyooni Yoomi Energy Drain Ramuh 11193
00:00:10.6240000		Run Escape prepares Enkindle: Inferno on Ramuh +239 (CRITICAL)
00:00:10.7570000		Blue Fever prepares Refulgent Arrow on Ramuh 30842 (CRITICAL)
00:00:10.8910000		Blue Fever Shot Ramuh 4853
00:00:10.9800000		Dan Tam Shadow Fang Ramuh 8388
00:00:10.9800000		Ramuh gains Shadow Fang from Dan Tam
00:00:11.0700000		Bunshin Shadow Fang Ramuh 11909
00:00:11.0700000		Yoo Rose prepares Ruin III on Ramuh 17161 (DIRECT HIT)
00:00:11.1150000		Dengue Fever Glare Ramuh 20934
00:00:11.1150000		Eos gains Summon Order from Eos
00:00:11.1150000		Ifrit-Egi prepares Burning Strike on Ramuh 9278 (CRITICAL)
00:00:11.1150000		Dan Tam prepares Dream Within A Dream on Ramuh 13041 (CRITICAL)
00:00:11.1150000		Dan Tam prepares Dream Within A Dream on Ramuh 15881 (CRITICAL)
00:00:11.1150000		Dan Tam prepares Dream Within A Dream on Ramuh 10131 (DIRECT HIT)
00:00:11.1150000		Dan Tam gains Assassinate Ready from Dan Tam
00:00:11.1590000		Eos prepares Whispering Dawn on Minju Rose 
00:00:11.1590000		Eos prepares Whispering Dawn on Dan Tam 
00:00:11.1590000		Eos prepares Whispering Dawn on Yujin Ahn 
00:00:11.1590000		Eos prepares Whispering Dawn on Aihyooni Yoomi 
00:00:11.1590000		Eos prepares Whispering Dawn on Dengue Fever 
00:00:11.1590000		Eos prepares Whispering Dawn on Run Escape 
00:00:11.1590000		Eos prepares Whispering Dawn on Yoo Rose 
00:00:11.1590000		Eos prepares Whispering Dawn on Blue Fever 
00:00:11.1590000		Dan Tam prepares Attack on Ramuh 5108 (DIRECT HIT)
00:00:11.2490000		Ifrit-Egi gains Summon Order III from Ramuh
00:00:11.2490000		Yujin Ahn prepares Inner Release on Yujin Ahn 1177
00:00:11.2490000		Yujin Ahn gains Inner Release from Yujin Ahn
00:00:11.3820000		Run Escape gains Aetherflow from Run Escape
00:00:11.3820000		Run Escape prepares Fester on Ramuh 20778
00:00:11.4270000		Blue Fever prepares Pitch Perfect on Ramuh 51693 (CRITICAL)
00:00:11.4270000		Minju Rose prepares Attack on Ramuh 6517 (CRITICAL)
00:00:11.6950000		Ifrit-Egi Flaming Crush Ramuh 14072
00:00:11.6950000		Run Escape gains Further Ruin from Run Escape
00:00:11.6950000		Dan Tam Attack Ramuh 5108
00:00:11.6950000		Ifrit-Egi prepares Inferno on Ramuh 27879 (CRITICAL)
00:00:11.7390000		Yoo Rose prepares Deathflare on Ramuh 28592
00:00:11.8290000		Dan Tam Dream Within A Dream Ramuh 13041
00:00:11.8730000		Yoo Rose Ruin III Ramuh 17161
00:00:11.9190000		Ifrit-Egi Burning Strike Ramuh 9278
00:00:11.9190000		Dengue Fever prepares Glare on Ramuh 22243
00:00:11.9630000		Minju Rose Attack Ramuh 6517
00:00:11.9630000		Dan Tam Dream Within A Dream Ramuh 15881
00:00:11.9630000		Yujin Ahn prepares Fell Cleave on Ramuh 39420 (CRITICAL)
00:00:12.0530000		The limit break guage has been updated to 680. 3 bars are available.
00:00:12.0970000		Dan Tam Dream Within A Dream Ramuh 10131
00:00:12.1420000		Blue Fever prepares Barrage on Blue Fever 128 (DIRECT HIT)
00:00:12.1420000		Blue Fever gains Barrage from Blue Fever
00:00:12.1420000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:12.1860000		Ramuh prepares Judgment Volts on Ramuh 19381
00:00:12.2320000		Blue Fever Pitch Perfect Ramuh 51693
00:00:12.2320000		Blue Fever Refulgent Arrow Ramuh 30842
00:00:12.2320000		Minju Rose prepares Riot Blade on Ramuh 11020
00:00:12.3210000		Minju Rose gains Whispering Dawn from Eos
00:00:12.3210000		Run Escape Fester Ramuh 20778
00:00:12.3650000		Ruby Carbuncle prepares Burning Strike on Ramuh 5308 (DIRECT HIT)
00:00:12.4100000		Yoo Rose prepares Summon Bahamut on Yoo Rose 
00:00:12.4100000		Run Escape prepares Ruin III on Ramuh 14800
00:00:12.4550000		Dan Tam gains Whispering Dawn from Eos
00:00:12.4990000		Yujin Ahn prepares Attack on Ramuh 8409 (CRITICAL)
00:00:12.5440000		Yoo Rose Deathflare Ramuh 28592
