-00:00:01.8170000		Run Escape casts Ruin III on Ramuh
00:00:02.3110000		Aihyooni Yoomi prepares Biolysis on Ramuh 
00:00:02.4000000		Blue Fever Stormbite Ramuh 5296
00:00:02.4000000		Ramuh gains Stormbite from Blue Fever
00:00:02.4000000		Aihyooni Yoomi Broil III Ramuh 20102
00:00:02.4440000		Dan Tam Spinning Edge Ramuh 15597
00:00:02.4900000		Ruby Carbuncle Crimson Cyclone Ramuh 12046
00:00:02.4900000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:02.4900000		Blue Fever prepares The Wanderer's Minuet on Ramuh 4249
00:00:02.4900000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:02.4900000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:02.4900000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:02.4900000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:02.4900000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:02.4900000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:02.4900000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:02.4900000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:02.4900000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:02.4900000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:02.5340000		Dengue Fever prepares Assize on Dengue Fever +18047
00:00:02.5340000		Dengue Fever prepares Assize on Ramuh 26138
00:00:02.5340000		Dengue Fever prepares Assize on Yoo Rose +18736
00:00:02.5340000		Dengue Fever prepares Assize on Run Escape +18144
00:00:02.5340000		Dengue Fever prepares Assize on Blue Fever +18025
00:00:02.5340000		Dengue Fever prepares Assize on Aihyooni Yoomi +17887
00:00:02.5340000		Dengue Fever prepares Assize on Minju Rose +18511
00:00:02.5340000		Dengue Fever prepares Assize on Dan Tam +27698 (CRITICAL)
00:00:02.5340000		Dengue Fever prepares Assize on Yujin Ahn +18857
00:00:02.6230000		Minju Rose Attack Ramuh 3791
00:00:02.6230000		Yujin Ahn Heavy Swing Ramuh 5288
00:00:02.6230000		Yujin Ahn Attack Ramuh 5819
00:00:02.6230000		Minju Rose prepares Fast Blade on Ramuh 5130
00:00:02.6230000		Dan Tam prepares Attack on Ramuh 6945 (CRITICAL)
00:00:02.6670000		Yoo Rose prepares Dreadwyrm Trance on Yoo Rose 
00:00:02.7110000		Yoo Rose Tri-Disaster Ramuh 24242
00:00:02.7550000		Ifrit-Egi gains Summon Order from Ramuh
00:00:02.7550000		Dan Tam gains Devotion from Ifrit-Egi
00:00:02.8890000		Dengue Fever Dia Ramuh 7948
00:00:02.8890000		Ramuh gains Dia from Dengue Fever
00:00:02.8890000		Yujin Ahn gains Devotion from Ifrit-Egi
00:00:02.9340000		Ramuh gains Biolysis from Aihyooni Yoomi
00:00:02.9340000		Run Escape gains Aetherflow from Run Escape
00:00:02.9340000		Run Escape prepares Energy Drain on Ramuh 6530
00:00:03.0220000		Run Escape gains Devotion from Ifrit-Egi
00:00:03.0220000		Ifrit-Egi gains Devotion from Ifrit-Egi
00:00:03.0660000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:03.0660000		Aihyooni Yoomi prepares Aetherflow on Aihyooni Yoomi 1000
00:00:03.1550000		Blue Fever The Wanderer's Minuet Ramuh 4249
00:00:03.1550000		Dan Tam Attack Ramuh 6945
00:00:03.1550000		Minju Rose gains Devotion from Ifrit-Egi
00:00:03.1990000		Dengue Fever prepares Presence Of Mind on Dengue Fever 
00:00:03.2430000		Minju Rose Fast Blade Ramuh 5130
00:00:03.2880000		Aihyooni Yoomi gains Devotion from Ifrit-Egi
00:00:03.2880000		Eos gains Devotion from Ifrit-Egi
00:00:03.3320000		Dengue Fever Assize Ramuh 26138
00:00:03.3760000		Blue Fever Bloodletter Ramuh 7499
00:00:03.3760000		Ramuh prepares Unknown_4Bc9 on Minju Rose +5063 (CRITICAL)
00:00:03.4210000		Yoo Rose gains Devotion from Ifrit-Egi
00:00:03.4210000		Minju Rose prepares Circle Of Scorn on Ramuh 3294
00:00:03.4210000		Ruby Carbuncle gains Devotion from Ifrit-Egi
00:00:03.5540000		Blue Fever gains Devotion from Ifrit-Egi
00:00:03.5540000		Blue Fever prepares Caustic Bite on Ramuh 9986 (DIRECT HIT)
00:00:03.5540000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:03.6420000		Yoo Rose prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:03.6870000		Dengue Fever gains Devotion from Ifrit-Egi
00:00:03.6870000		Run Escape prepares Tri-Disaster on Ramuh 19805
00:00:03.6870000		Ramuh gains Bio III from Run Escape
00:00:03.6870000		Ramuh gains Miasma III from Run Escape
00:00:03.7310000		Dengue Fever gains Presence Of Mind from Dengue Fever
00:00:03.8200000		The limit break guage has been updated to 340. 3 bars are available.
00:00:03.8640000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:03.8640000		Aihyooni Yoomi prepares Energy Drain on Ramuh 22440 (CRITICAL)
00:00:03.9970000		Run Escape Energy Drain Ramuh 6530
00:00:04.1300000		Ifrit-Egi prepares Crimson Cyclone on Ramuh 27024 (CRITICAL)
00:00:04.1300000		Minju Rose prepares Fight Or Flight on Minju Rose 
00:00:04.1750000		Ramuh Unknown_4Bc9 Minju Rose 5063
00:00:04.1750000		Blue Fever prepares Shot on Ramuh 7262 (CRITICAL)
00:00:04.1750000		Dan Tam prepares Gust Slash on Ramuh 16420 (DIRECT HIT)
00:00:04.2640000		Blue Fever prepares Empyreal Arrow on Ramuh 19966 (CRITICAL)
00:00:04.3080000		Ruby Carbuncle gains Summon Order II from Ruby Carbuncle
00:00:04.3530000		Ruby Carbuncle prepares Flaming Crush on Ramuh 12902
00:00:04.3530000		Yoo Rose prepares Enkindle: Inferno on Ramuh +239 (CRITICAL)
00:00:04.3530000		Minju Rose prepares Attack on Ramuh 2258
00:00:04.4410000		Minju Rose Circle Of Scorn Ramuh 3294
00:00:04.4410000		Ramuh gains Circle Of Scorn from Minju Rose
00:00:04.4410000		Yujin Ahn prepares Maim on Ramuh 13546 (CRITICAL)
00:00:04.4860000		Run Escape Tri-Disaster Ramuh 19805
00:00:04.5750000		Dan Tam Gust Slash Ramuh 16420
00:00:04.5750000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:04.5750000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:04.5750000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:04.5750000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:04.5750000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:04.5750000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:04.5750000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:04.5750000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:04.5750000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:04.5750000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:04.6640000		Run Escape prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:04.7080000		Eos prepares Embrace on Minju Rose +4568
00:00:04.7080000		Ifrit-Egi prepares Burning Strike on Ramuh 4366
00:00:04.7530000		Minju Rose gains Fight Or Flight from Minju Rose
00:00:04.7530000		Ifrit-Egi Crimson Cyclone Ramuh 27024
00:00:04.7530000		Run Escape gains Further Ruin from Run Escape
00:00:04.8410000		Dan Tam prepares Attack on Ramuh 4701 (DIRECT HIT)
00:00:04.8860000		Blue Fever Caustic Bite Ramuh 9986
00:00:04.8860000		Ramuh gains Caustic Bite from Blue Fever
00:00:04.8860000		Minju Rose Attack Ramuh 2258
00:00:04.9300000		Blue Fever Shot Ramuh 7262
00:00:04.9300000		Aihyooni Yoomi Energy Drain Ramuh 22440
00:00:04.9300000		Ruby Carbuncle prepares Burning Strike on Ramuh 4161
00:00:04.9300000		Blue Fever prepares Battle Voice on Yoo Rose 
00:00:04.9300000		Blue Fever prepares Battle Voice on Run Escape 
00:00:04.9300000		Blue Fever prepares Battle Voice on Aihyooni Yoomi 
00:00:04.9300000		Blue Fever prepares Battle Voice on Dan Tam 
00:00:04.9300000		Blue Fever prepares Battle Voice on Dengue Fever 
00:00:04.9300000		Blue Fever prepares Battle Voice on Yujin Ahn 
00:00:04.9300000		Blue Fever prepares Battle Voice on Minju Rose 
00:00:04.9300000		Dan Tam prepares Mug on Ramuh 5990
00:00:04.9750000		Minju Rose prepares Riot Blade on Ramuh 13615 (DIRECT HIT)
00:00:05.0190000		Ruby Carbuncle gains Summon Order III from Ramuh
00:00:05.0190000		Yoo Rose gains Aetherflow from Yoo Rose
00:00:05.0190000		Yoo Rose prepares Energy Drain on Ramuh 6657
00:00:05.0630000		Yujin Ahn Maim Ramuh 13546
00:00:05.3300000		Blue Fever Empyreal Arrow Ramuh 19966
00:00:05.3300000		Ifrit-Egi gains Summon Order II from Ifrit-Egi
00:00:05.3300000		Eos Embrace Minju Rose 4568
00:00:05.3750000		Dan Tam Attack Ramuh 4701
00:00:05.3750000		Ifrit-Egi prepares Flaming Crush on Ramuh 16187 (DIRECT HIT)
00:00:05.4640000		Dan Tam Mug Ramuh 5990
00:00:05.4640000		Yujin Ahn prepares Attack on Ramuh 3691
00:00:05.4640000		Run Escape prepares Item_Fb577 on Run Escape 
00:00:05.5090000		Ruby Carbuncle Flaming Crush Ramuh 12902
00:00:05.5090000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:05.5090000		Ifrit-Egi Burning Strike Ramuh 4366
00:00:05.5090000		Ruby Carbuncle prepares Inferno on Ramuh 19059 (DIRECT HIT)
00:00:05.5090000		Dengue Fever prepares Glare on Ramuh 20085
00:00:05.5530000		Yoo Rose gains Battle Voice from Blue Fever
00:00:05.5530000		Ruby Carbuncle gains Battle Voice from Blue Fever
00:00:05.5980000		Dan Tam prepares Bunshin on Dan Tam 
00:00:05.5980000		Dan Tam gains Bunshin from Dan Tam
00:00:05.6870000		Run Escape gains Battle Voice from Blue Fever
00:00:05.6870000		Ifrit-Egi gains Battle Voice from Blue Fever
00:00:05.7320000		Minju Rose Riot Blade Ramuh 13615
00:00:05.7320000		Ruby Carbuncle Burning Strike Ramuh 4161
00:00:05.8210000		Aihyooni Yoomi gains Battle Voice from Blue Fever
00:00:05.8210000		Eos gains Battle Voice from Blue Fever
00:00:05.9540000		Dan Tam gains Battle Voice from Blue Fever
00:00:05.9540000		Bunshin gains Well Fed from Dan Tam
00:00:05.9540000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:05.9540000		Bunshin gains Devotion from Ifrit-Egi
00:00:05.9540000		Bunshin gains Battle Voice from Blue Fever
00:00:05.9980000		Yujin Ahn Attack Ramuh 3691
00:00:06.0430000		Yoo Rose Energy Drain Ramuh 6657
00:00:06.0430000		Blue Fever prepares Refulgent Arrow on Ramuh 27092 (CRITICAL)
00:00:06.0870000		Dengue Fever gains Battle Voice from Blue Fever
00:00:06.0870000		Yoo Rose prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:06.2200000		Yujin Ahn gains Battle Voice from Blue Fever
00:00:06.2660000		Dan Tam prepares Aeolian Edge on Ramuh 23483 (DIRECT HIT)
00:00:06.2660000		Dan Tam gains Bunshin from Dan Tam
00:00:06.3550000		Minju Rose gains Battle Voice from Blue Fever
00:00:06.3550000		Run Escape gains Medicated from Run Escape
00:00:06.3550000		Bunshin prepares Aeolian Edge on Ramuh 9402 (DIRECT HIT)
00:00:06.3550000		Ifrit-Egi gains Medicated from Run Escape
00:00:06.4440000		Ruby Carbuncle Inferno Ramuh 19059
00:00:06.4440000		Ramuh gains Inferno from Ruby Carbuncle
00:00:06.5330000		Ifrit-Egi Flaming Crush Ramuh 16187
00:00:06.5330000		Run Escape gains Further Ruin from Run Escape
00:00:06.6220000		Minju Rose prepares Attack on Ramuh 3751 (DIRECT HIT)
00:00:06.7110000		Ruby Carbuncle gains Summon Order II from Ruby Carbuncle
00:00:06.7110000		Aihyooni Yoomi prepares Broil III on Ramuh 40526 (CRITICAL)
00:00:06.7560000		Ruby Carbuncle prepares Flaming Crush on Ramuh 13382
00:00:06.7560000		Yoo Rose gains Aetherflow from Yoo Rose
00:00:06.7560000		Yoo Rose prepares Fester on Ramuh 31447 (CRITICAL)
00:00:06.7560000		Blue Fever prepares Sidewinder on Ramuh 25068 (CRITICAL)
00:00:06.7560000		Yujin Ahn prepares Storm's Eye on Ramuh 22828 (CRITICAL)
00:00:06.8000000		Dengue Fever Glare Ramuh 20085
00:00:06.8000000		Dan Tam Aeolian Edge Ramuh 23483
00:00:06.8450000		The limit break guage has been updated to 510. 3 bars are available.
00:00:06.8890000		Bunshin Aeolian Edge Ramuh 9402
00:00:07.0230000		Dan Tam prepares Attack on Ramuh 4648 (DIRECT HIT)
00:00:07.1570000		Minju Rose Attack Ramuh 3751
00:00:07.2010000		Run Escape prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:07.2450000		Blue Fever prepares Shot on Ramuh 5640 (DIRECT HIT)
00:00:07.2900000		Blue Fever Sidewinder Ramuh 25068
00:00:07.2900000		Aihyooni Yoomi prepares Ruin II on Ramuh 19140 (DIRECT HIT)
00:00:07.3790000		Minju Rose prepares Goring Blade on Ramuh 16451 (DIRECT HIT)
00:00:07.5120000		Blue Fever Refulgent Arrow Ramuh 27092
00:00:07.5120000		Aihyooni Yoomi Broil III Ramuh 40526
00:00:07.5570000		Dan Tam Attack Ramuh 4648
00:00:07.6020000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:07.6020000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:07.6020000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:07.6020000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:07.6020000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:07.6020000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:07.6020000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:07.6020000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:07.6020000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:07.6020000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:07.6020000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:07.6900000		Yoo Rose Fester Ramuh 31447
00:00:07.8230000		Ifrit-Egi gains Summon Order from Ramuh
00:00:07.8680000		Ifrit-Egi prepares Crimson Cyclone on Ramuh 28579 (CRITICAL)
00:00:07.8680000		Dengue Fever prepares Glare on Ramuh 21828
00:00:07.9130000		Minju Rose Goring Blade Ramuh 16451
00:00:07.9130000		Ramuh gains Goring Blade from Minju Rose
00:00:07.9130000		Ruby Carbuncle Flaming Crush Ramuh 13382
00:00:07.9130000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:07.9570000		Aihyooni Yoomi prepares Swiftcast on Aihyooni Yoomi 
00:00:07.9570000		Run Escape prepares Addle on Ramuh 
00:00:07.9570000		Aihyooni Yoomi gains Swiftcast from Aihyooni Yoomi
00:00:08.0020000		Blue Fever Shot Ramuh 5640
00:00:08.0910000		Minju Rose prepares Intervene on Ramuh 7271
00:00:08.2240000		Aihyooni Yoomi Ruin II Ramuh 19140
00:00:08.3580000		Dan Tam prepares Spinning Edge on Ramuh 11112 (DIRECT HIT)
00:00:08.3580000		Dan Tam gains Bunshin from Dan Tam
00:00:08.4020000		Yujin Ahn Storm's Eye Ramuh 22828
00:00:08.4020000		Yujin Ahn gains Storm's Eye from Yujin Ahn
00:00:08.4020000		Ruby Carbuncle prepares Burning Strike on Ramuh 5512 (DIRECT HIT)
00:00:08.4460000		Bunshin prepares Spinning Edge on Ramuh 7337
00:00:08.4460000		Ifrit-Egi prepares Burning Strike on Ramuh 5883 (DIRECT HIT)
00:00:08.4910000		Ifrit-Egi Crimson Cyclone Ramuh 28579
00:00:08.4910000		Run Escape gains Further Ruin from Run Escape
00:00:08.4910000		Blue Fever prepares Burst Shot on Ramuh 20834 (CRITICAL)
00:00:08.4910000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:08.5350000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:08.5800000		Ramuh gains Addle from Run Escape
00:00:08.6240000		Aihyooni Yoomi prepares Chain Stratagem on Ramuh 
00:00:08.6680000		Minju Rose Intervene Ramuh 7271
00:00:08.7570000		Dan Tam Spinning Edge Ramuh 11112
00:00:08.7570000		Run Escape prepares Dreadwyrm Trance on Run Escape 
00:00:08.8460000		Bunshin Spinning Edge Ramuh 7337
00:00:08.8460000		Yujin Ahn prepares Attack on Ramuh 5107 (DIRECT HIT)
00:00:08.8910000		Minju Rose prepares Attack on Ramuh 3795 (DIRECT HIT)
00:00:09.0240000		Dan Tam prepares Trick Attack on Ramuh 24285 (DIRECT HIT)
00:00:09.0240000		Ramuh gains Vulnerability Up from Dan Tam
00:00:09.1130000		Yujin Ahn prepares Infuriate on Yujin Ahn 
00:00:09.1130000		Yujin Ahn gains Nascent Chaos from Yujin Ahn
00:00:09.1570000		Ruby Carbuncle gains Summon Order from Ramuh
00:00:09.1570000		Dengue Fever Glare Ramuh 21828
00:00:09.2020000		Ruby Carbuncle Burning Strike Ramuh 5512
00:00:09.2020000		Ruby Carbuncle prepares Crimson Cyclone on Ramuh 13255
00:00:09.2020000		Dan Tam prepares Attack on Ramuh 4069
00:00:09.2460000		Ifrit-Egi Burning Strike Ramuh 5883
00:00:09.3800000		Yujin Ahn Attack Ramuh 5107
00:00:09.4230000		Minju Rose Attack Ramuh 3795
00:00:09.4230000		Ramuh gains Chain Stratagem from Aihyooni Yoomi
00:00:09.7360000		Dan Tam Attack Ramuh 4069
00:00:09.7360000		Aihyooni Yoomi prepares Broil III on Ramuh 27401 (DIRECT HIT)
00:00:09.7360000		Run Escape prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:09.7800000		Minju Rose prepares Fast Blade on Ramuh 9329 (DIRECT HIT)
00:00:09.8240000		Ruby Carbuncle Crimson Cyclone Ramuh 13255
00:00:09.8240000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:09.8240000		Dan Tam Trick Attack Ramuh 24285
00:00:09.8240000		Yujin Ahn prepares Inner Chaos on Ramuh 62967 (CRITICAL)
00:00:09.8240000		The limit break guage has been updated to 680. 3 bars are available.
00:00:09.9570000		Blue Fever Burst Shot Ramuh 20834
00:00:09.9570000		Dengue Fever prepares Glare on Ramuh 43161 (CRITICAL)
00:00:10.3110000		Blue Fever prepares Shot on Ramuh 4833
00:00:10.3990000		Minju Rose Fast Blade Ramuh 9329
00:00:10.3990000		Ifrit-Egi gains Summon Order II from Ifrit-Egi
00:00:10.4440000		Ifrit-Egi prepares Flaming Crush on Ramuh 32106 (CRITICAL)
00:00:10.4440000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:10.4440000		Aihyooni Yoomi prepares Energy Drain on Ramuh 23894 (CRITICAL)
00:00:10.4440000		Dan Tam prepares Shadow Fang on Ramuh 15754 (CRITICAL)
00:00:10.4440000		Dan Tam gains Bunshin from Dan Tam
00:00:10.5320000		Aihyooni Yoomi Broil III Ramuh 27401
00:00:10.5330000		Bunshin prepares Shadow Fang on Ramuh 9360 (DIRECT HIT)
00:00:10.5330000		Run Escape prepares Enkindle: Inferno on Ramuh +239 (CRITICAL)
00:00:10.5780000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:10.5780000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:10.5780000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:10.5780000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:10.5780000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:10.5780000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:10.5780000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:10.5780000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:10.5780000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:10.5780000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:10.5780000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:10.7540000		Yujin Ahn Inner Chaos Ramuh 62967
00:00:10.9760000		Dan Tam Shadow Fang Ramuh 15754
00:00:10.9760000		Ramuh gains Shadow Fang from Dan Tam
00:00:10.9760000		Yoo Rose prepares Ruin III on Ramuh 29024 (CRITICAL)
00:00:10.9760000		Blue Fever prepares Refulgent Arrow on Ramuh 35851 (CRITICAL)
00:00:11.0650000		Blue Fever Shot Ramuh 4833
00:00:11.0650000		Bunshin Shadow Fang Ramuh 9360
00:00:11.1100000		Dan Tam prepares Dream Within A Dream on Ramuh 10434 (DIRECT HIT)
00:00:11.1100000		Dan Tam prepares Dream Within A Dream on Ramuh 16792 (CRITICAL)
00:00:11.1100000		Dan Tam prepares Dream Within A Dream on Ramuh 10540 (DIRECT HIT)
00:00:11.1100000		Dan Tam gains Assassinate Ready from Dan Tam
00:00:11.1540000		Minju Rose prepares Attack on Ramuh 6267 (CRITICAL)
00:00:11.1540000		Aihyooni Yoomi prepares Whispering Dawn on Aihyooni Yoomi 
00:00:11.1980000		Ifrit-Egi gains Summon Order III from Ramuh
00:00:11.2420000		Ifrit-Egi prepares Inferno on Ramuh 37095 (CRITICAL)
00:00:11.2870000		Dengue Fever Glare Ramuh 43161
00:00:11.2870000		Run Escape gains Aetherflow from Run Escape
00:00:11.2870000		Run Escape prepares Fester on Ramuh 23600
00:00:11.3750000		Ruby Carbuncle prepares Burning Strike on Ramuh 4323
00:00:11.4200000		Dan Tam prepares Attack on Ramuh 4053
00:00:11.5080000		Aihyooni Yoomi Energy Drain Ramuh 23894
00:00:11.5980000		Ifrit-Egi Flaming Crush Ramuh 32106
00:00:11.5980000		Run Escape gains Further Ruin from Run Escape
00:00:11.6860000		Minju Rose Attack Ramuh 6267
00:00:11.6860000		Yoo Rose prepares Deathflare on Ramuh 28410
00:00:11.6860000		Blue Fever prepares Pitch Perfect on Ramuh 33345 (DIRECT HIT)
00:00:11.7750000		Yoo Rose Ruin III Ramuh 29024
00:00:11.7750000		Yujin Ahn prepares Inner Release on Yujin Ahn 1177
00:00:11.7750000		Yujin Ahn gains Inner Release from Yujin Ahn
00:00:11.8190000		Dan Tam Dream Within A Dream Ramuh 10434
00:00:11.8190000		Ifrit-Egi prepares Burning Strike on Ramuh 9873 (CRITICAL)
00:00:11.9080000		Ramuh prepares Judgment Volts on Ramuh 19381
00:00:11.9530000		Eos gains Summon Order from Eos
00:00:11.9530000		Dan Tam Attack Ramuh 4053
00:00:11.9530000		Dan Tam Dream Within A Dream Ramuh 16792
00:00:11.9970000		Eos prepares Whispering Dawn on Minju Rose 
00:00:11.9970000		Eos prepares Whispering Dawn on Yujin Ahn 
00:00:11.9970000		Eos prepares Whispering Dawn on Dengue Fever 
00:00:11.9970000		Eos prepares Whispering Dawn on Dan Tam 
00:00:11.9970000		Eos prepares Whispering Dawn on Run Escape 
00:00:11.9970000		Eos prepares Whispering Dawn on Aihyooni Yoomi 
00:00:11.9970000		Eos prepares Whispering Dawn on Yoo Rose 
00:00:12.0860000		Dan Tam Dream Within A Dream Ramuh 10540
00:00:12.0860000		Dengue Fever prepares Glare on Ramuh 33820 (CRITICAL)
00:00:12.1750000		Ruby Carbuncle Burning Strike Ramuh 4323
00:00:12.1750000		Ifrit-Egi Inferno Ramuh 37095
00:00:12.1750000		Ramuh gains Inferno from Ifrit-Egi
00:00:12.1750000		Minju Rose prepares Riot Blade on Ramuh 18389 (CRITICAL)
00:00:12.2190000		Run Escape Fester Ramuh 23600
