-21:51:45.6820000		The limit break guage has been updated to 0. 2 bars are available
00:00:51.1960000		Selene casts Whispering Dawn on Moryn Ward
00:00:51.1960000		Selene casts Whispering Dawn on Cagnazzo Tarakona
00:00:51.1960000		Selene casts Whispering Dawn on Super Negative
00:00:51.1960000		Selene casts Whispering Dawn on Dengue Fever
00:00:52.3580000		The limit break guage has been updated to 3960. 3 bars are available
00:00:55.3480000		The limit break guage has been updated to 4180. 3 bars are available
00:00:56.1070000		Selene casts Fey Illumination on Angk H'zhet
00:00:56.1070000		Selene casts Fey Illumination on Moryn Ward
00:00:56.1070000		Selene casts Fey Illumination on White Crystal
00:00:56.1070000		Selene casts Fey Illumination on Super Negative
00:00:56.1070000		Selene casts Fey Illumination on Cagnazzo Tarakona
00:00:58.3400000		The limit break guage has been updated to 4400. 3 bars are available
00:00:59.3220000		Selene casts Fey Illumination on Super Negative
00:00:59.3220000		Selene casts Fey Illumination on Angk H'zhet
00:00:59.3220000		Selene casts Fey Illumination on Moryn Ward
00:00:59.3220000		Selene casts Fey Illumination on Cagnazzo Tarakona
00:01:01.3310000		The limit break guage has been updated to 4620. 3 bars are available
00:01:03.6100000		Ramuh casts Judgment Volts on Super Negative
00:01:03.6100000		Ramuh casts Judgment Volts on Angk H'zhet
00:01:03.6100000		Ramuh casts Judgment Volts on Moryn Ward
00:01:03.6100000		Ramuh casts Judgment Volts on Stone Wolf
00:01:03.6100000		Ramuh casts Judgment Volts on White Crystal
00:01:03.6100000		Ramuh casts Judgment Volts on Cagnazzo Tarakona
00:01:03.6100000		Ramuh casts Judgment Volts on Dengue Fever
00:01:03.6100000		Ramuh casts Judgment Volts on Blue Fever
00:01:04.3240000		The limit break guage has been updated to 4840. 3 bars are available
00:01:04.4130000		Selene casts Fey Blessing on Angk H'zhet
00:01:04.4130000		Selene casts Fey Blessing on Moryn Ward
00:01:04.4130000		Selene casts Fey Blessing on Cagnazzo Tarakona
00:01:04.4130000		Selene casts Fey Blessing on Super Negative
00:01:04.4130000		Selene casts Fey Blessing on White Crystal
00:01:04.4130000		Selene casts Fey Blessing on Stone Wolf
00:01:04.4130000		Selene casts Fey Blessing on Dengue Fever
00:01:04.4130000		Selene casts Fey Blessing on Blue Fever
00:01:06.6890000		Dengue Fever casts Assize on Dengue Fever
00:01:06.6890000		Dengue Fever casts Assize on Ramuh
00:01:06.6890000		Dengue Fever casts Assize on Super Negative
00:01:06.6890000		Dengue Fever casts Assize on Stone Wolf
00:01:06.6890000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:01:06.6890000		Dengue Fever casts Assize on Moryn Ward
00:01:06.6890000		Dengue Fever casts Assize on White Crystal
00:01:07.3590000		The limit break guage has been updated to 5060. 3 bars are available
00:01:10.3530000		The limit break guage has been updated to 5280. 3 bars are available
00:01:12.0070000		Moryn Ward casts Dream Within A Dream on Ramuh
00:01:12.0070000		Moryn Ward casts Dream Within A Dream on Ramuh
00:01:12.0070000		Moryn Ward casts Dream Within A Dream on Ramuh
00:01:13.2560000		The limit break guage has been updated to 5580. 3 bars are available
00:01:13.3470000		The limit break guage has been updated to 5800. 3 bars are available
00:01:13.6140000		Dengue Fever casts Medica II on Dengue Fever
00:01:13.6140000		Dengue Fever casts Medica II on Super Negative
00:01:13.6140000		Dengue Fever casts Medica II on Stone Wolf
00:01:13.6140000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:01:13.6140000		Dengue Fever casts Medica II on Moryn Ward
00:01:13.6140000		Dengue Fever casts Medica II on White Crystal
00:01:13.6140000		Dengue Fever casts Medica II on Angk H'zhet
00:01:13.6140000		Dengue Fever casts Medica II on Blue Fever
00:01:16.3360000		The limit break guage has been updated to 6020. 3 bars are available
00:01:18.2550000		Angk H'zhet casts Succor on Angk H'zhet
00:01:18.2550000		Angk H'zhet casts Succor on Moryn Ward
00:01:18.2550000		Angk H'zhet casts Succor on White Crystal
00:01:18.2550000		Angk H'zhet casts Succor on Cagnazzo Tarakona
00:01:18.2550000		Angk H'zhet casts Succor on Super Negative
00:01:18.2550000		Angk H'zhet casts Succor on Stone Wolf
00:01:19.3240000		The limit break guage has been updated to 6240. 3 bars are available
00:01:22.3570000		The limit break guage has been updated to 6460. 3 bars are available
00:01:25.0830000		Dengue Fever casts Asylum on Dengue Fever
00:01:25.3510000		The limit break guage has been updated to 6680. 3 bars are available
00:01:28.3440000		The limit break guage has been updated to 6900. 3 bars are available
00:01:31.3300000		The limit break guage has been updated to 7120. 3 bars are available
00:01:32.2680000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:01:32.2680000		Dengue Fever casts Afflatus Rapture on Super Negative
00:01:32.2680000		Dengue Fever casts Afflatus Rapture on White Crystal
00:01:32.2680000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:01:32.2680000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:01:32.2680000		Dengue Fever casts Afflatus Rapture on Angk H'zhet
00:01:32.2680000		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:01:32.2680000		Dengue Fever casts Afflatus Rapture on Blue Fever
00:01:34.0060000		Angk H'zhet casts Succor on Angk H'zhet
00:01:34.0060000		Angk H'zhet casts Succor on Blue Fever
00:01:34.0060000		Angk H'zhet casts Succor on Moryn Ward
00:01:34.0060000		Angk H'zhet casts Succor on Stone Wolf
00:01:34.0060000		Angk H'zhet casts Succor on White Crystal
00:01:34.0060000		Angk H'zhet casts Succor on Super Negative
00:01:34.0060000		Angk H'zhet casts Succor on Dengue Fever
00:01:34.3630000		The limit break guage has been updated to 7340. 3 bars are available
00:01:35.1670000		Blue Fever casts Refulgent Arrow on Ramuh
00:01:35.1670000		Blue Fever casts Refulgent Arrow on Ramuh
00:01:35.1670000		Blue Fever casts Refulgent Arrow on Ramuh
00:01:35.8830000		Ramuh casts Levinforce on Super Negative
00:01:35.8830000		Ramuh casts Levinforce on White Crystal
00:01:35.8830000		Ramuh casts Levinforce on Dengue Fever
00:01:35.8830000		Ramuh casts Levinforce on Stone Wolf
00:01:35.8830000		Ramuh casts Levinforce on Angk H'zhet
00:01:35.8830000		Ramuh casts Levinforce on Blue Fever
00:01:35.8830000		Ramuh casts Levinforce on Moryn Ward
00:01:35.8830000		Ramuh casts Levinforce on Cagnazzo Tarakona
00:01:37.3530000		The limit break guage has been updated to 7560. 3 bars are available
00:01:40.3480000		The limit break guage has been updated to 7780. 3 bars are available
00:01:43.3380000		The limit break guage has been updated to 8000. 3 bars are available
00:01:46.3300000		The limit break guage has been updated to 8220. 3 bars are available
00:01:49.3660000		The limit break guage has been updated to 8440. 3 bars are available
00:01:52.3600000		The limit break guage has been updated to 8660. 3 bars are available
00:01:52.6280000		Cagnazzo Tarakona casts Ley Lines on Cagnazzo Tarakona
00:01:55.3520000		The limit break guage has been updated to 8880. 3 bars are available
00:01:55.7530000		Cagnazzo Tarakona casts Between The Lines on Cagnazzo Tarakona
00:01:58.3420000		The limit break guage has been updated to 9100. 3 bars are available
00:02:01.3370000		The limit break guage has been updated to 9320. 3 bars are available
00:02:04.3260000		The limit break guage has been updated to 9540. 3 bars are available
00:02:06.4250000		Will Of Ramuh casts Deadly Discharge on Angk H'zhet
00:02:06.4250000		Will Of Ramuh casts Deadly Discharge on Stone Wolf
00:02:06.4250000		Will Of Ramuh casts Deadly Discharge on Blue Fever
00:02:06.4250000		Will Of Ramuh casts Deadly Discharge on Moryn Ward
00:02:06.4250000		Will Of Ramuh casts Deadly Discharge on Dengue Fever
00:02:06.4250000		Will Of Ramuh casts Deadly Discharge on White Crystal
00:02:06.4250000		Will Of Ramuh casts Deadly Discharge on Super Negative
00:02:06.4250000		Will Of Ramuh casts Deadly Discharge on Cagnazzo Tarakona
00:02:07.3630000		The limit break guage has been updated to 9760. 3 bars are available
00:02:10.0030000		Cagnazzo Tarakona casts Between The Lines on Cagnazzo Tarakona
00:02:10.3620000		The limit break guage has been updated to 9980. 3 bars are available
00:02:10.8080000		Moryn Ward casts Shukuchi on Moryn Ward
00:02:12.0140000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:02:12.0140000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:02:12.0140000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:02:12.0140000		Dengue Fever casts Afflatus Rapture on Super Negative
00:02:12.0140000		Dengue Fever casts Afflatus Rapture on White Crystal
00:02:12.0140000		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:02:12.0140000		Dengue Fever casts Afflatus Rapture on Angk H'zhet
00:02:12.0140000		Dengue Fever casts Afflatus Rapture on Blue Fever
00:02:12.7760000		Dengue Fever casts Assize on Ramuh
00:02:12.7760000		Dengue Fever casts Assize on Dengue Fever
00:02:12.7760000		Dengue Fever casts Assize on Stone Wolf
00:02:12.7760000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:02:12.7760000		Dengue Fever casts Assize on White Crystal
00:02:12.7760000		Dengue Fever casts Assize on Super Negative
00:02:12.7760000		Dengue Fever casts Assize on Moryn Ward
00:02:12.7760000		Dengue Fever casts Assize on Angk H'zhet
00:02:13.3580000		The limit break guage has been updated to 10200. 3 bars are available
00:02:16.3520000		The limit break guage has been updated to 10420. 3 bars are available
00:02:16.4850000		Dengue Fever casts Medica II on Dengue Fever
00:02:16.4850000		Dengue Fever casts Medica II on Stone Wolf
00:02:16.4850000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:02:16.4850000		Dengue Fever casts Medica II on White Crystal
00:02:16.4850000		Dengue Fever casts Medica II on Super Negative
00:02:16.4850000		Dengue Fever casts Medica II on Angk H'zhet
00:02:16.4850000		Dengue Fever casts Medica II on Moryn Ward
00:02:16.4850000		Dengue Fever casts Medica II on Blue Fever
00:02:17.5560000		Moryn Ward casts Dream Within A Dream on Ramuh
00:02:17.5560000		Moryn Ward casts Dream Within A Dream on Ramuh
00:02:17.5560000		Moryn Ward casts Dream Within A Dream on Ramuh
00:02:19.3440000		The limit break guage has been updated to 10640. 3 bars are available
00:02:20.3240000		Dengue Fever casts Medica II on Dengue Fever
00:02:20.3240000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:02:20.3240000		Dengue Fever casts Medica II on White Crystal
00:02:20.3240000		Dengue Fever casts Medica II on Angk H'zhet
00:02:20.3240000		Dengue Fever casts Medica II on Stone Wolf
00:02:20.3240000		Dengue Fever casts Medica II on Super Negative
00:02:20.3240000		Dengue Fever casts Medica II on Moryn Ward
00:02:20.3240000		Dengue Fever casts Medica II on Blue Fever
00:02:22.3340000		The limit break guage has been updated to 10860. 3 bars are available
00:02:25.3260000		Angk H'zhet casts Sacred Soil on Angk H'zhet
00:02:25.3260000		The limit break guage has been updated to 11080. 3 bars are available
00:02:27.4220000		Selene casts Whispering Dawn on Super Negative
00:02:27.4220000		Selene casts Whispering Dawn on Angk H'zhet
00:02:27.4220000		Selene casts Whispering Dawn on White Crystal
00:02:27.4220000		Selene casts Whispering Dawn on Moryn Ward
00:02:27.4220000		Selene casts Whispering Dawn on Cagnazzo Tarakona
00:02:27.4220000		Selene casts Whispering Dawn on Dengue Fever
00:02:27.4220000		Selene casts Whispering Dawn on Stone Wolf
00:02:27.4220000		Selene casts Whispering Dawn on Blue Fever
00:02:28.3600000		The limit break guage has been updated to 11300. 3 bars are available
00:02:28.7170000		Ramuh casts Judgment Volts on Super Negative
00:02:28.7170000		Ramuh casts Judgment Volts on Moryn Ward
00:02:28.7170000		Ramuh casts Judgment Volts on White Crystal
00:02:28.7170000		Ramuh casts Judgment Volts on Angk H'zhet
00:02:28.7170000		Ramuh casts Judgment Volts on Stone Wolf
00:02:28.7170000		Ramuh casts Judgment Volts on Dengue Fever
00:02:28.7170000		Ramuh casts Judgment Volts on Cagnazzo Tarakona
00:02:28.7170000		Ramuh casts Judgment Volts on Blue Fever
00:02:31.3490000		The limit break guage has been updated to 11520. 3 bars are available
00:02:31.3930000		Angk H'zhet casts Succor on Angk H'zhet
00:02:31.3930000		Angk H'zhet casts Succor on White Crystal
00:02:31.3930000		Angk H'zhet casts Succor on Moryn Ward
00:02:31.3930000		Angk H'zhet casts Succor on Dengue Fever
00:02:31.3930000		Angk H'zhet casts Succor on Super Negative
00:02:31.3930000		Angk H'zhet casts Succor on Cagnazzo Tarakona
00:02:31.3930000		Angk H'zhet casts Succor on Stone Wolf
00:02:31.3930000		Angk H'zhet casts Succor on Blue Fever
00:02:33.1790000		White Crystal casts Salted Earth on White Crystal
00:02:33.4010000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:02:33.4010000		Dengue Fever casts Afflatus Rapture on Super Negative
00:02:33.4010000		Dengue Fever casts Afflatus Rapture on Angk H'zhet
00:02:33.4010000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:02:33.4010000		Dengue Fever casts Afflatus Rapture on White Crystal
00:02:33.4010000		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:02:33.4010000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:02:33.4010000		Dengue Fever casts Afflatus Rapture on Blue Fever
00:02:34.3380000		The limit break guage has been updated to 11740. 3 bars are available
00:02:37.3290000		The limit break guage has been updated to 11960. 3 bars are available
00:02:40.3230000		The limit break guage has been updated to 12180. 3 bars are available
00:02:43.3560000		The limit break guage has been updated to 12400. 3 bars are available
00:02:46.3480000		The limit break guage has been updated to 12620. 3 bars are available
00:02:49.3420000		The limit break guage has been updated to 12840. 3 bars are available
00:02:50.8110000		Stone Wolf casts Shake It Off on Stone Wolf
00:02:50.8110000		Stone Wolf casts Shake It Off on Super Negative
00:02:50.8110000		Stone Wolf casts Shake It Off on White Crystal
00:02:50.8110000		Stone Wolf casts Shake It Off on Moryn Ward
00:02:50.8110000		Stone Wolf casts Shake It Off on Dengue Fever
00:02:52.3300000		The limit break guage has been updated to 13060. 3 bars are available
00:02:55.1820000		Blue Fever casts Refulgent Arrow on Ramuh
00:02:55.1820000		Blue Fever casts Refulgent Arrow on Ramuh
00:02:55.1820000		Blue Fever casts Refulgent Arrow on Ramuh
00:02:55.3600000		The limit break guage has been updated to 13280. 3 bars are available
00:02:58.3430000		The limit break guage has been updated to 13500. 3 bars are available
00:03:01.3250000		The limit break guage has been updated to 13720. 3 bars are available
00:03:03.4610000		Dengue Fever casts Asylum on Dengue Fever
00:03:04.3520000		The limit break guage has been updated to 13940. 3 bars are available
00:03:05.4210000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:03:05.4210000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:03:05.4210000		Dengue Fever casts Afflatus Rapture on Super Negative
00:03:05.4210000		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:03:05.4210000		Dengue Fever casts Afflatus Rapture on White Crystal
00:03:05.4210000		Dengue Fever casts Afflatus Rapture on Blue Fever
00:03:05.4210000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:03:06.2240000		Dengue Fever casts Assize on Ramuh
00:03:06.2240000		Dengue Fever casts Assize on Dengue Fever
00:03:06.2240000		Dengue Fever casts Assize on Super Negative
00:03:06.2240000		Dengue Fever casts Assize on Moryn Ward
00:03:06.2240000		Dengue Fever casts Assize on Stone Wolf
00:03:06.2240000		Dengue Fever casts Assize on White Crystal
00:03:06.2240000		Dengue Fever casts Assize on Blue Fever
00:03:06.2240000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:03:07.3390000		The limit break guage has been updated to 14160. 3 bars are available
00:03:07.8290000		Blue Fever casts Battle Voice on Dengue Fever
00:03:07.8290000		Blue Fever casts Battle Voice on Moryn Ward
00:03:07.8290000		Blue Fever casts Battle Voice on Cagnazzo Tarakona
00:03:07.8290000		Blue Fever casts Battle Voice on White Crystal
00:03:07.8290000		Blue Fever casts Battle Voice on Super Negative
00:03:07.8290000		Blue Fever casts Battle Voice on Stone Wolf
00:03:07.8290000		Blue Fever casts Battle Voice on Angk H'zhet
00:03:10.3650000		The limit break guage has been updated to 14380. 3 bars are available
00:03:13.3350000		The limit break guage has been updated to 14600. 3 bars are available
00:03:16.3510000		The limit break guage has been updated to 14820. 3 bars are available
00:03:19.3240000		The limit break guage has been updated to 15040. 3 bars are available
00:03:20.7890000		Moryn Ward casts Dream Within A Dream on Ramuh
00:03:20.7890000		Moryn Ward casts Dream Within A Dream on Ramuh
00:03:20.7890000		Moryn Ward casts Dream Within A Dream on Ramuh
00:03:22.3430000		The limit break guage has been updated to 15260. 3 bars are available
00:03:25.3570000		The limit break guage has been updated to 15480. 3 bars are available
00:03:28.3310000		The limit break guage has been updated to 15700. 3 bars are available
00:03:31.3490000		The limit break guage has been updated to 15920. 3 bars are available
00:03:34.3240000		The limit break guage has been updated to 16140. 3 bars are available
00:03:37.3490000		The limit break guage has been updated to 16360. 3 bars are available
00:03:37.6140000		Angk H'zhet casts Sacred Soil on Angk H'zhet
00:03:40.3650000		The limit break guage has been updated to 16580. 3 bars are available
00:03:41.7400000		Ramuh casts Judgment Volts on Super Negative
00:03:41.7400000		Ramuh casts Judgment Volts on Stone Wolf
00:03:41.7400000		Ramuh casts Judgment Volts on White Crystal
00:03:41.7400000		Ramuh casts Judgment Volts on Moryn Ward
00:03:41.7400000		Ramuh casts Judgment Volts on Angk H'zhet
00:03:41.7400000		Ramuh casts Judgment Volts on Cagnazzo Tarakona
00:03:41.7400000		Ramuh casts Judgment Volts on Dengue Fever
00:03:41.7400000		Ramuh casts Judgment Volts on Blue Fever
00:03:43.3360000		The limit break guage has been updated to 16800. 3 bars are available
00:03:45.2940000		Dengue Fever casts Medica II on Dengue Fever
00:03:45.2940000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:03:45.2940000		Dengue Fever casts Medica II on Moryn Ward
00:03:45.2940000		Dengue Fever casts Medica II on Super Negative
00:03:45.2940000		Dengue Fever casts Medica II on Angk H'zhet
00:03:45.2940000		Dengue Fever casts Medica II on Blue Fever
00:03:45.2940000		Dengue Fever casts Medica II on White Crystal
00:03:45.2940000		Dengue Fever casts Medica II on Stone Wolf
00:03:46.3600000		The limit break guage has been updated to 17020. 3 bars are available
00:03:49.3310000		The limit break guage has been updated to 17240. 3 bars are available
00:03:52.3480000		The limit break guage has been updated to 17460. 3 bars are available
00:03:54.5680000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:03:54.5680000		Dengue Fever casts Afflatus Rapture on Super Negative
00:03:54.5680000		Dengue Fever casts Afflatus Rapture on White Crystal
00:03:54.5680000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:03:54.5680000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:03:54.5680000		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:03:54.5680000		Dengue Fever casts Afflatus Rapture on Angk H'zhet
00:03:54.5680000		Dengue Fever casts Afflatus Rapture on Blue Fever
00:03:55.3240000		The limit break guage has been updated to 17680. 3 bars are available
00:03:55.4560000		Dengue Fever casts Assize on Dengue Fever
00:03:55.4560000		Dengue Fever casts Assize on Ramuh
00:03:55.4560000		Dengue Fever casts Assize on Super Negative
00:03:55.4560000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:03:55.4560000		Dengue Fever casts Assize on White Crystal
00:03:55.4560000		Dengue Fever casts Assize on Moryn Ward
00:03:55.4560000		Dengue Fever casts Assize on Angk H'zhet
00:03:55.4560000		Dengue Fever casts Assize on Blue Fever
00:03:55.4560000		Dengue Fever casts Assize on Stone Wolf
00:03:58.3400000		The limit break guage has been updated to 17900. 3 bars are available
00:04:01.3660000		The limit break guage has been updated to 18120. 3 bars are available
00:04:04.3410000		The limit break guage has been updated to 18340. 3 bars are available
00:04:07.0970000		White Crystal casts Salted Earth on White Crystal
00:04:07.3650000		The limit break guage has been updated to 18560. 3 bars are available
00:04:08.7440000		White Crystal casts Dark Missionary on White Crystal
00:04:08.7440000		White Crystal casts Dark Missionary on Moryn Ward
00:04:08.7440000		White Crystal casts Dark Missionary on Angk H'zhet
00:04:08.7440000		White Crystal casts Dark Missionary on Cagnazzo Tarakona
00:04:08.7440000		White Crystal casts Dark Missionary on Dengue Fever
00:04:08.7440000		White Crystal casts Dark Missionary on Super Negative
00:04:08.7440000		White Crystal casts Dark Missionary on Blue Fever
00:04:08.7440000		White Crystal casts Dark Missionary on Stone Wolf
00:04:10.3430000		The limit break guage has been updated to 18780. 3 bars are available
00:04:13.3630000		The limit break guage has been updated to 19000. 3 bars are available
00:04:16.3380000		The limit break guage has been updated to 19220. 3 bars are available
00:04:18.3740000		Blue Fever casts Refulgent Arrow on Ramuh
00:04:18.3740000		Blue Fever casts Refulgent Arrow on Ramuh
00:04:18.3740000		Blue Fever casts Refulgent Arrow on Ramuh
00:04:19.3520000		The limit break guage has been updated to 19440. 3 bars are available
00:04:22.3280000		The limit break guage has been updated to 19660. 3 bars are available
00:04:22.9040000		The limit break guage has been updated to 19960. 3 bars are available
00:04:22.9040000		Ramuh casts Centaur's Charge on White Crystal
00:04:22.9040000		Ramuh casts Centaur's Charge on Angk H'zhet
00:04:22.9040000		Ramuh casts Centaur's Charge on Dengue Fever
00:04:22.9040000		Ramuh casts Centaur's Charge on Cagnazzo Tarakona
00:04:22.9040000		Ramuh casts Centaur's Charge on Blue Fever
00:04:22.9040000		Ramuh casts Centaur's Charge on Moryn Ward
00:04:22.9040000		Ramuh casts Centaur's Charge on Super Negative
00:04:22.9040000		Ramuh casts Centaur's Charge on Stone Wolf
00:04:25.3430000		The limit break guage has been updated to 20180. 3 bars are available
00:04:26.5860000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:04:26.5860000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:04:26.5860000		Dengue Fever casts Afflatus Rapture on Angk H'zhet
00:04:26.5860000		Dengue Fever casts Afflatus Rapture on Blue Fever
00:04:26.5860000		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:04:26.5860000		Dengue Fever casts Afflatus Rapture on White Crystal
00:04:26.5860000		Dengue Fever casts Afflatus Rapture on Super Negative
00:04:26.5860000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:04:26.9410000		Angk H'zhet casts Indomitability on Angk H'zhet
