737550.23:57:32.4950000		The limit break guage has been updated to 0. 1 bars are available
00:00:58.3040000		Selene casts Fey Illumination on White Crystal
00:00:58.3040000		Selene casts Fey Illumination on Moryn Ward
00:00:58.3040000		Selene casts Fey Illumination on Angk H'zhet
00:00:58.3040000		Selene casts Fey Illumination on Cagnazzo Tarakona
00:00:58.3040000		Selene casts Fey Illumination on Blue Fever
00:00:58.3040000		Selene casts Fey Illumination on Dengue Fever
00:00:59.1950000		The limit break guage has been updated to 4400. 3 bars are available
00:01:00.2650000		Selene casts Fey Illumination on Stone Wolf
00:01:00.2650000		Selene casts Fey Illumination on Super Negative
00:01:00.2650000		Selene casts Fey Illumination on White Crystal
00:01:00.2650000		Selene casts Fey Illumination on Moryn Ward
00:01:00.2650000		Selene casts Fey Illumination on Angk H'zhet
00:01:00.2650000		Selene casts Fey Illumination on Cagnazzo Tarakona
00:01:00.2650000		Selene casts Fey Illumination on Blue Fever
00:01:00.2650000		Selene casts Fey Illumination on Dengue Fever
00:01:02.2290000		The limit break guage has been updated to 4620. 3 bars are available
00:01:03.6570000		Ramuh casts Judgment Volts on Super Negative
00:01:03.6570000		Ramuh casts Judgment Volts on Stone Wolf
00:01:03.6570000		Ramuh casts Judgment Volts on White Crystal
00:01:03.6570000		Ramuh casts Judgment Volts on Moryn Ward
00:01:03.6570000		Ramuh casts Judgment Volts on Angk H'zhet
00:01:03.6570000		Ramuh casts Judgment Volts on Dengue Fever
00:01:03.6570000		Ramuh casts Judgment Volts on Cagnazzo Tarakona
00:01:03.6570000		Ramuh casts Judgment Volts on Blue Fever
00:01:05.2250000		The limit break guage has been updated to 4840. 3 bars are available
00:01:05.5340000		Dengue Fever casts Medica II on Dengue Fever
00:01:05.5340000		Dengue Fever casts Medica II on Super Negative
00:01:05.5340000		Dengue Fever casts Medica II on Stone Wolf
00:01:05.5340000		Dengue Fever casts Medica II on Moryn Ward
00:01:05.5340000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:01:05.5340000		Dengue Fever casts Medica II on White Crystal
00:01:05.5340000		Dengue Fever casts Medica II on Angk H'zhet
00:01:05.5340000		Dengue Fever casts Medica II on Blue Fever
00:01:08.2100000		The limit break guage has been updated to 5060. 3 bars are available
00:01:08.5230000		Selene casts Fey Blessing on Super Negative
00:01:08.5230000		Selene casts Fey Blessing on Stone Wolf
00:01:08.5230000		Selene casts Fey Blessing on Moryn Ward
00:01:08.5230000		Selene casts Fey Blessing on White Crystal
00:01:08.5230000		Selene casts Fey Blessing on Angk H'zhet
00:01:08.5230000		Selene casts Fey Blessing on Dengue Fever
00:01:08.5230000		Selene casts Fey Blessing on Cagnazzo Tarakona
00:01:08.5230000		Selene casts Fey Blessing on Blue Fever
00:01:09.3250000		Moryn Ward casts Dream Within A Dream on Ramuh
00:01:09.3250000		Moryn Ward casts Dream Within A Dream on Ramuh
00:01:09.3250000		Moryn Ward casts Dream Within A Dream on Ramuh
00:01:11.1990000		The limit break guage has been updated to 5280. 3 bars are available
00:01:14.2260000		The limit break guage has been updated to 5500. 3 bars are available
00:01:17.2140000		The limit break guage has been updated to 5720. 3 bars are available
00:01:20.1970000		The limit break guage has been updated to 5940. 3 bars are available
00:01:23.2230000		The limit break guage has been updated to 6160. 3 bars are available
00:01:26.2100000		The limit break guage has been updated to 6380. 3 bars are available
00:01:29.1940000		The limit break guage has been updated to 6600. 3 bars are available
00:01:29.2840000		Dengue Fever casts Asylum on Dengue Fever
00:01:31.3300000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:01:31.3300000		Dengue Fever casts Afflatus Rapture on Super Negative
00:01:31.3300000		Dengue Fever casts Afflatus Rapture on White Crystal
00:01:31.3300000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:01:31.3300000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:01:31.3300000		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:01:31.3300000		Dengue Fever casts Afflatus Rapture on Angk H'zhet
00:01:32.1760000		Dengue Fever casts Plenary Indulgence on Dengue Fever
00:01:32.1760000		Dengue Fever casts Plenary Indulgence on White Crystal
00:01:32.1760000		Dengue Fever casts Plenary Indulgence on Super Negative
00:01:32.1760000		Dengue Fever casts Plenary Indulgence on Angk H'zhet
00:01:32.1760000		Dengue Fever casts Plenary Indulgence on Stone Wolf
00:01:32.1760000		Dengue Fever casts Plenary Indulgence on Moryn Ward
00:01:32.1760000		Dengue Fever casts Plenary Indulgence on Cagnazzo Tarakona
00:01:32.1760000		Dengue Fever casts Plenary Indulgence on Blue Fever
00:01:32.2200000		The limit break guage has been updated to 6820. 3 bars are available
00:01:32.5320000		Blue Fever casts Refulgent Arrow on Ramuh
00:01:32.5320000		Blue Fever casts Refulgent Arrow on Ramuh
00:01:32.5320000		Blue Fever casts Refulgent Arrow on Ramuh
00:01:35.1990000		The limit break guage has been updated to 7040. 3 bars are available
00:01:35.2430000		Angk H'zhet casts Succor on Angk H'zhet
00:01:35.2430000		Angk H'zhet casts Succor on Blue Fever
00:01:35.2430000		Angk H'zhet casts Succor on Moryn Ward
00:01:35.2430000		Angk H'zhet casts Succor on Super Negative
00:01:35.2430000		Angk H'zhet casts Succor on Dengue Fever
00:01:35.2430000		Angk H'zhet casts Succor on White Crystal
00:01:35.2430000		Angk H'zhet casts Succor on Stone Wolf
00:01:35.9560000		Ramuh casts Levinforce on Dengue Fever
00:01:35.9560000		Ramuh casts Levinforce on White Crystal
00:01:35.9560000		Ramuh casts Levinforce on Super Negative
00:01:35.9560000		Ramuh casts Levinforce on Blue Fever
00:01:35.9560000		Ramuh casts Levinforce on Angk H'zhet
00:01:35.9560000		Ramuh casts Levinforce on Moryn Ward
00:01:35.9560000		Ramuh casts Levinforce on Cagnazzo Tarakona
00:01:35.9560000		Ramuh casts Levinforce on Stone Wolf
00:01:37.6020000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:01:37.6020000		Dengue Fever casts Afflatus Rapture on White Crystal
00:01:37.6020000		Dengue Fever casts Afflatus Rapture on Super Negative
00:01:37.6020000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:01:37.6020000		Dengue Fever casts Afflatus Rapture on Blue Fever
00:01:37.6020000		Dengue Fever casts Afflatus Rapture on Angk H'zhet
00:01:37.6020000		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:01:38.2250000		The limit break guage has been updated to 7260. 3 bars are available
00:01:38.4920000		Dengue Fever casts Assize on Ramuh
00:01:38.4920000		Dengue Fever casts Assize on Dengue Fever
00:01:38.4920000		Dengue Fever casts Assize on White Crystal
00:01:38.4920000		Dengue Fever casts Assize on Super Negative
00:01:38.4920000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:01:38.4920000		Dengue Fever casts Assize on Blue Fever
00:01:38.4920000		Dengue Fever casts Assize on Angk H'zhet
00:01:38.4920000		Dengue Fever casts Assize on Moryn Ward
00:01:38.7150000		Stone Wolf dies
00:01:41.2090000		The limit break guage has been updated to 7480. 3 bars are available
00:01:44.1920000		The limit break guage has been updated to 7700. 3 bars are available
00:01:47.2190000		The limit break guage has been updated to 7920. 3 bars are available
00:01:47.8410000		Dengue Fever casts Medica II on Dengue Fever
00:01:47.8410000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:01:47.8410000		Dengue Fever casts Medica II on White Crystal
00:01:47.8410000		Dengue Fever casts Medica II on Super Negative
00:01:47.8410000		Dengue Fever casts Medica II on Blue Fever
00:01:47.8410000		Dengue Fever casts Medica II on Moryn Ward
00:01:47.8410000		Dengue Fever casts Medica II on Angk H'zhet
00:01:50.2020000		The limit break guage has been updated to 8140. 3 bars are available
00:01:53.2280000		The limit break guage has been updated to 8360. 3 bars are available
00:01:56.2170000		The limit break guage has been updated to 8580. 3 bars are available
00:01:59.2040000		The limit break guage has been updated to 8800. 3 bars are available
00:02:01.2540000		Angk H'zhet casts Succor on Angk H'zhet
00:02:01.2540000		Angk H'zhet casts Succor on Blue Fever
00:02:01.2540000		Angk H'zhet casts Succor on Moryn Ward
00:02:01.2540000		Angk H'zhet casts Succor on Stone Wolf
00:02:01.2540000		Angk H'zhet casts Succor on Dengue Fever
00:02:01.2540000		Angk H'zhet casts Succor on White Crystal
00:02:01.2540000		Angk H'zhet casts Succor on Cagnazzo Tarakona
00:02:01.2540000		Angk H'zhet casts Succor on Super Negative
00:02:02.2340000		The limit break guage has been updated to 9020. 3 bars are available
00:02:04.1920000		Dengue Fever casts Medica II on Dengue Fever
00:02:04.1920000		Dengue Fever casts Medica II on White Crystal
00:02:04.1920000		Dengue Fever casts Medica II on Super Negative
00:02:04.1920000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:02:04.1920000		Dengue Fever casts Medica II on Stone Wolf
00:02:04.1920000		Dengue Fever casts Medica II on Moryn Ward
00:02:04.1920000		Dengue Fever casts Medica II on Blue Fever
00:02:04.1920000		Dengue Fever casts Medica II on Angk H'zhet
00:02:05.2150000		The limit break guage has been updated to 9240. 3 bars are available
00:02:06.5080000		Will Of Ramuh casts Deadly Discharge on Cagnazzo Tarakona
00:02:06.5080000		Will Of Ramuh casts Deadly Discharge on Moryn Ward
00:02:06.5080000		Will Of Ramuh casts Deadly Discharge on Blue Fever
00:02:06.5080000		Will Of Ramuh casts Deadly Discharge on Stone Wolf
00:02:06.5080000		Will Of Ramuh casts Deadly Discharge on Super Negative
00:02:06.5080000		Will Of Ramuh casts Deadly Discharge on White Crystal
00:02:06.5080000		Will Of Ramuh casts Deadly Discharge on Angk H'zhet
00:02:06.5080000		Will Of Ramuh casts Deadly Discharge on Dengue Fever
00:02:08.2000000		The limit break guage has been updated to 9460. 3 bars are available
00:02:10.8240000		Moryn Ward casts Shukuchi on Moryn Ward
00:02:11.0470000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:02:11.0470000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:02:11.0470000		Dengue Fever casts Afflatus Rapture on Super Negative
00:02:11.0470000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:02:11.0470000		Dengue Fever casts Afflatus Rapture on White Crystal
00:02:11.2250000		The limit break guage has been updated to 9680. 3 bars are available
00:02:13.7110000		Moryn Ward casts Dream Within A Dream on Ramuh
00:02:13.7110000		Moryn Ward casts Dream Within A Dream on Ramuh
00:02:13.7110000		Moryn Ward casts Dream Within A Dream on Ramuh
00:02:14.2000000		The limit break guage has been updated to 9900. 3 bars are available
00:02:14.2890000		Angk H'zhet casts Indomitability on Angk H'zhet
00:02:14.2890000		Angk H'zhet casts Indomitability on Dengue Fever
00:02:14.2890000		Angk H'zhet casts Indomitability on Cagnazzo Tarakona
00:02:14.2890000		Angk H'zhet casts Indomitability on Stone Wolf
00:02:14.2890000		Angk H'zhet casts Indomitability on Moryn Ward
00:02:14.2890000		Angk H'zhet casts Indomitability on Super Negative
00:02:14.2890000		Angk H'zhet casts Indomitability on White Crystal
00:02:14.2890000		Angk H'zhet casts Indomitability on Blue Fever
00:02:17.2210000		The limit break guage has been updated to 10120. 3 bars are available
00:02:20.1960000		The limit break guage has been updated to 10340. 3 bars are available
00:02:23.2210000		The limit break guage has been updated to 10560. 3 bars are available
00:02:25.4900000		Angk H'zhet casts Sacred Soil on Angk H'zhet
00:02:26.2020000		The limit break guage has been updated to 10780. 3 bars are available
00:02:27.6710000		Angk H'zhet casts Succor on Angk H'zhet
00:02:27.6710000		Angk H'zhet casts Succor on Dengue Fever
00:02:27.6710000		Angk H'zhet casts Succor on Stone Wolf
00:02:27.6710000		Angk H'zhet casts Succor on Blue Fever
00:02:27.6710000		Angk H'zhet casts Succor on White Crystal
00:02:27.6710000		Angk H'zhet casts Succor on Super Negative
00:02:27.6710000		Angk H'zhet casts Succor on Cagnazzo Tarakona
00:02:27.6710000		Angk H'zhet casts Succor on Moryn Ward
00:02:28.3380000		Dengue Fever casts Medica II on Dengue Fever
00:02:28.3380000		Dengue Fever casts Medica II on Stone Wolf
00:02:28.3380000		Dengue Fever casts Medica II on Angk H'zhet
00:02:28.3380000		Dengue Fever casts Medica II on White Crystal
00:02:28.3380000		Dengue Fever casts Medica II on Super Negative
00:02:28.3380000		Dengue Fever casts Medica II on Moryn Ward
00:02:28.3380000		Dengue Fever casts Medica II on Blue Fever
00:02:28.3380000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:02:28.7820000		Ramuh casts Judgment Volts on Stone Wolf
00:02:28.7820000		Ramuh casts Judgment Volts on Super Negative
00:02:28.7820000		Ramuh casts Judgment Volts on Moryn Ward
00:02:28.7820000		Ramuh casts Judgment Volts on White Crystal
00:02:28.7820000		Ramuh casts Judgment Volts on Dengue Fever
00:02:28.7820000		Ramuh casts Judgment Volts on Angk H'zhet
00:02:28.7820000		Ramuh casts Judgment Volts on Cagnazzo Tarakona
00:02:28.7820000		Ramuh casts Judgment Volts on Blue Fever
00:02:29.2280000		The limit break guage has been updated to 11000. 3 bars are available
00:02:30.9220000		Dengue Fever casts Assize on Dengue Fever
00:02:30.9220000		Dengue Fever casts Assize on Stone Wolf
00:02:30.9220000		Dengue Fever casts Assize on Angk H'zhet
00:02:30.9220000		Dengue Fever casts Assize on Ramuh
00:02:30.9220000		Dengue Fever casts Assize on Super Negative
00:02:30.9220000		Dengue Fever casts Assize on White Crystal
00:02:30.9220000		Dengue Fever casts Assize on Moryn Ward
00:02:30.9220000		Dengue Fever casts Assize on Blue Fever
00:02:32.2110000		The limit break guage has been updated to 11220. 3 bars are available
00:02:34.3460000		Selene casts Fey Blessing on Angk H'zhet
00:02:34.3460000		Selene casts Fey Blessing on Dengue Fever
00:02:34.3460000		Selene casts Fey Blessing on Blue Fever
00:02:34.3460000		Selene casts Fey Blessing on White Crystal
00:02:34.3460000		Selene casts Fey Blessing on Stone Wolf
00:02:34.3460000		Selene casts Fey Blessing on Super Negative
00:02:34.3460000		Selene casts Fey Blessing on Moryn Ward
00:02:34.3460000		Selene casts Fey Blessing on Cagnazzo Tarakona
00:02:35.1920000		The limit break guage has been updated to 11440. 3 bars are available
00:02:38.2200000		The limit break guage has been updated to 11660. 3 bars are available
00:02:41.2000000		The limit break guage has been updated to 11880. 3 bars are available
00:02:44.2200000		The limit break guage has been updated to 12100. 3 bars are available
00:02:47.2030000		The limit break guage has been updated to 12320. 3 bars are available
00:02:49.4320000		White Crystal casts Salted Earth on White Crystal
00:02:50.2360000		The limit break guage has been updated to 12540. 3 bars are available
00:02:50.8580000		Stone Wolf casts Shake It Off on Stone Wolf
00:02:50.8580000		Stone Wolf casts Shake It Off on Super Negative
00:02:50.8580000		Stone Wolf casts Shake It Off on Moryn Ward
00:02:50.8580000		Stone Wolf casts Shake It Off on White Crystal
00:02:50.8580000		Stone Wolf casts Shake It Off on Dengue Fever
00:02:50.8580000		Stone Wolf casts Shake It Off on Blue Fever
00:02:53.2170000		The limit break guage has been updated to 12760. 3 bars are available
00:02:54.8640000		Blue Fever casts Refulgent Arrow on Ramuh
00:02:54.8640000		Blue Fever casts Refulgent Arrow on Ramuh
00:02:54.8640000		Blue Fever casts Refulgent Arrow on Ramuh
00:02:56.0240000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:02:56.0240000		Dengue Fever casts Afflatus Rapture on Super Negative
00:02:56.0240000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:02:56.0240000		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:02:56.0240000		Dengue Fever casts Afflatus Rapture on White Crystal
00:02:56.2020000		The limit break guage has been updated to 12980. 3 bars are available
00:02:59.2320000		The limit break guage has been updated to 13200. 3 bars are available
00:03:02.2190000		The limit break guage has been updated to 13420. 3 bars are available
00:03:05.2010000		The limit break guage has been updated to 13640. 3 bars are available
00:03:06.4060000		Blue Fever casts Battle Voice on White Crystal
00:03:06.4060000		Blue Fever casts Battle Voice on Moryn Ward
00:03:06.4060000		Blue Fever casts Battle Voice on Angk H'zhet
00:03:06.4060000		Blue Fever casts Battle Voice on Stone Wolf
00:03:06.4060000		Blue Fever casts Battle Voice on Super Negative
00:03:06.4060000		Blue Fever casts Battle Voice on Cagnazzo Tarakona
00:03:08.2320000		The limit break guage has been updated to 13860. 3 bars are available
00:03:11.2150000		The limit break guage has been updated to 14080. 3 bars are available
00:03:13.7580000		Dengue Fever casts Asylum on Dengue Fever
00:03:14.2040000		The limit break guage has been updated to 14300. 3 bars are available
00:03:14.5600000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:03:14.5600000		Dengue Fever casts Afflatus Rapture on Super Negative
00:03:14.5600000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:03:14.5600000		Dengue Fever casts Afflatus Rapture on White Crystal
00:03:14.5600000		Dengue Fever casts Afflatus Rapture on Angk H'zhet
00:03:14.5600000		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:03:14.5600000		Dengue Fever casts Afflatus Rapture on Blue Fever
00:03:14.5600000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:03:16.0740000		Dengue Fever casts Assize on Dengue Fever
00:03:16.0740000		Dengue Fever casts Assize on Angk H'zhet
00:03:16.0740000		Dengue Fever casts Assize on White Crystal
00:03:16.0740000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:03:16.0740000		Dengue Fever casts Assize on Ramuh
00:03:16.0740000		Dengue Fever casts Assize on Blue Fever
00:03:16.0740000		Dengue Fever casts Assize on Moryn Ward
00:03:16.0740000		Dengue Fever casts Assize on Super Negative
00:03:16.0740000		Dengue Fever casts Assize on Stone Wolf
00:03:17.2340000		The limit break guage has been updated to 14520. 3 bars are available
00:03:17.4130000		Moryn Ward casts Dream Within A Dream on Ramuh
00:03:17.4130000		Moryn Ward casts Dream Within A Dream on Ramuh
00:03:17.4130000		Moryn Ward casts Dream Within A Dream on Ramuh
00:03:20.2180000		The limit break guage has been updated to 14740. 3 bars are available
00:03:22.0900000		Dengue Fever casts Medica II on Dengue Fever
00:03:22.0900000		Dengue Fever casts Medica II on Angk H'zhet
00:03:22.0900000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:03:22.0900000		Dengue Fever casts Medica II on Blue Fever
00:03:22.0900000		Dengue Fever casts Medica II on White Crystal
00:03:22.0900000		Dengue Fever casts Medica II on Moryn Ward
00:03:22.0900000		Dengue Fever casts Medica II on Super Negative
00:03:22.0900000		Dengue Fever casts Medica II on Stone Wolf
00:03:23.2030000		The limit break guage has been updated to 14960. 3 bars are available
00:03:26.2320000		The limit break guage has been updated to 15180. 3 bars are available
00:03:29.2180000		The limit break guage has been updated to 15400. 3 bars are available
00:03:32.2030000		The limit break guage has been updated to 15620. 3 bars are available
00:03:35.2320000		The limit break guage has been updated to 15840. 3 bars are available
00:03:38.2150000		The limit break guage has been updated to 16060. 3 bars are available
00:03:39.4620000		Angk H'zhet casts Sacred Soil on Angk H'zhet
00:03:41.1980000		The limit break guage has been updated to 16280. 3 bars are available
00:03:41.6440000		Ramuh casts Judgment Volts on Super Negative
00:03:41.6440000		Ramuh casts Judgment Volts on Angk H'zhet
00:03:41.6440000		Ramuh casts Judgment Volts on Stone Wolf
00:03:41.6440000		Ramuh casts Judgment Volts on White Crystal
00:03:41.6440000		Ramuh casts Judgment Volts on Moryn Ward
00:03:41.6440000		Ramuh casts Judgment Volts on Cagnazzo Tarakona
00:03:41.6440000		Ramuh casts Judgment Volts on Dengue Fever
00:03:41.6440000		Ramuh casts Judgment Volts on Blue Fever
00:03:41.6890000		Angk H'zhet casts Succor on Angk H'zhet
00:03:41.6890000		Angk H'zhet casts Succor on Moryn Ward
00:03:41.6890000		Angk H'zhet casts Succor on Dengue Fever
00:03:41.6890000		Angk H'zhet casts Succor on Blue Fever
00:03:41.6890000		Angk H'zhet casts Succor on Cagnazzo Tarakona
00:03:41.6890000		Angk H'zhet casts Succor on Super Negative
00:03:41.6890000		Angk H'zhet casts Succor on Stone Wolf
00:03:41.6890000		Angk H'zhet casts Succor on White Crystal
00:03:41.8230000		Dengue Fever casts Medica II on Dengue Fever
00:03:41.8230000		Dengue Fever casts Medica II on Blue Fever
00:03:41.8230000		Dengue Fever casts Medica II on Moryn Ward
00:03:41.8230000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:03:41.8230000		Dengue Fever casts Medica II on Angk H'zhet
00:03:41.8230000		Dengue Fever casts Medica II on Super Negative
00:03:41.8230000		Dengue Fever casts Medica II on White Crystal
00:03:41.8230000		Dengue Fever casts Medica II on Stone Wolf
00:03:44.2310000		The limit break guage has been updated to 16500. 3 bars are available
00:03:47.2150000		The limit break guage has been updated to 16720. 3 bars are available
00:03:50.2040000		The limit break guage has been updated to 16940. 3 bars are available
